umur,status_pekerjaan,status_pernikahan
72,buruh,cerai
65,pengangguran,menikah
46,wirausaha,janda
71,wirausaha,menikah
76,wirausaha,cerai
62,pengangguran,janda
66,wirausaha,cerai
32,wirausaha,cerai
45,buruh,duda
31,pengangguran,duda
75,pegawai tetap,menikah
70,pengangguran,duda
18,pengangguran,cerai
26,wirausaha,menikah
44,wirausaha,duda
42,pekerja informal,belum menikah
35,pengangguran,duda
58,pekerja informal,cerai
67,pegawai tetap,duda
40,pegawai tetap,duda
34,pengangguran,belum menikah
64,pengangguran,belum menikah
20,buruh,menikah
51,wirausaha,duda
71,wirausaha,cerai
43,wirausaha,cerai
65,buruh,menikah
43,pekerja informal,duda
75,pengangguran,duda
66,pekerja informal,cerai
31,pengangguran,duda
71,pegawai tetap,janda
27,pengangguran,cerai
55,pegawai tetap,janda
42,pegawai tetap,belum menikah
69,pekerja informal,janda
20,pengangguran,janda
63,wirausaha,janda
66,buruh,janda
79,buruh,belum menikah
31,wirausaha,cerai
55,pekerja informal,duda
23,pekerja informal,belum menikah
18,buruh,duda
35,buruh,belum menikah
53,wirausaha,janda
55,buruh,cerai
76,wirausaha,duda
30,wirausaha,duda
29,buruh,menikah
44,pegawai tetap,cerai
39,pegawai tetap,duda
20,pengangguran,janda
49,pegawai tetap,belum menikah
50,pekerja informal,menikah
61,wirausaha,menikah
75,pekerja informal,duda
28,wirausaha,cerai
65,pekerja informal,belum menikah
25,wirausaha,belum menikah
45,wirausaha,menikah
27,buruh,menikah
26,pekerja informal,menikah
35,pengangguran,cerai
58,buruh,cerai
23,pekerja informal,menikah
67,pekerja informal,janda
54,pengangguran,cerai
35,pekerja informal,janda
51,pengangguran,duda
45,pegawai tetap,belum menikah
29,pengangguran,janda
58,pegawai tetap,duda
44,wirausaha,menikah
66,pengangguran,janda
19,pengangguran,cerai
51,pengangguran,belum menikah
46,wirausaha,janda
44,pegawai tetap,belum menikah
53,pegawai tetap,cerai
74,pengangguran,belum menikah
70,pekerja informal,belum menikah
21,pengangguran,cerai
58,wirausaha,duda
31,pengangguran,janda
41,wirausaha,duda
60,pengangguran,menikah
52,pengangguran,cerai
68,buruh,janda
65,buruh,menikah
41,pegawai tetap,janda
19,pekerja informal,cerai
45,pekerja informal,cerai
71,pegawai tetap,belum menikah
66,wirausaha,menikah
38,pekerja informal,duda
68,buruh,cerai
65,pegawai tetap,menikah
24,pekerja informal,janda
28,buruh,janda
53,wirausaha,janda
71,pengangguran,janda
57,pekerja informal,menikah
26,pekerja informal,menikah
27,wirausaha,cerai
28,wirausaha,menikah
26,pekerja informal,menikah
59,wirausaha,cerai
52,pekerja informal,cerai
79,pengangguran,janda
28,buruh,janda
42,wirausaha,duda
58,wirausaha,belum menikah
22,pekerja informal,duda
59,buruh,janda
25,pengangguran,menikah
54,wirausaha,janda
28,pengangguran,duda
47,wirausaha,cerai
63,pengangguran,menikah
36,pengangguran,menikah
28,pekerja informal,menikah
58,buruh,menikah
42,wirausaha,menikah
25,pekerja informal,menikah
32,pegawai tetap,cerai
58,pegawai tetap,duda
78,buruh,duda
28,pegawai tetap,janda
27,wirausaha,duda
77,buruh,cerai
66,pegawai tetap,menikah
73,wirausaha,duda
32,pengangguran,duda
64,pegawai tetap,janda
31,pekerja informal,duda
25,wirausaha,menikah
23,pengangguran,belum menikah
24,pengangguran,janda
31,wirausaha,cerai
27,pegawai tetap,duda
71,wirausaha,cerai
44,wirausaha,menikah
41,buruh,cerai
62,pegawai tetap,cerai
24,wirausaha,menikah
19,wirausaha,duda
34,pekerja informal,cerai
40,pekerja informal,menikah
51,wirausaha,cerai
66,pegawai tetap,menikah
56,pengangguran,belum menikah
74,pegawai tetap,duda
64,pengangguran,duda
55,pengangguran,janda
50,pegawai tetap,menikah
54,pengangguran,cerai
35,pegawai tetap,duda
58,pengangguran,belum menikah
52,pekerja informal,janda
23,pengangguran,janda
43,pegawai tetap,belum menikah
56,buruh,cerai
49,wirausaha,duda
19,pengangguran,duda
31,pengangguran,cerai
64,pengangguran,belum menikah
72,buruh,cerai
40,buruh,janda
78,buruh,menikah
18,pengangguran,menikah
48,buruh,duda
48,pengangguran,janda
47,pengangguran,menikah
24,pekerja informal,belum menikah
78,pekerja informal,janda
41,pekerja informal,duda
24,pekerja informal,duda
26,pengangguran,janda
59,pengangguran,menikah
59,pengangguran,duda
35,pegawai tetap,cerai
65,wirausaha,cerai
68,buruh,belum menikah
37,buruh,cerai
21,pegawai tetap,duda
69,pekerja informal,cerai
54,pegawai tetap,janda
79,wirausaha,cerai
43,pengangguran,belum menikah
70,pegawai tetap,belum menikah
43,buruh,janda
52,buruh,duda
47,pegawai tetap,menikah
75,pekerja informal,cerai
62,pengangguran,belum menikah
51,pegawai tetap,belum menikah
33,buruh,cerai
27,wirausaha,menikah
63,pegawai tetap,duda
67,pekerja informal,belum menikah
68,pekerja informal,duda
54,buruh,cerai
61,pengangguran,belum menikah
47,pegawai tetap,janda
28,wirausaha,janda
58,pekerja informal,janda
73,buruh,duda
69,pekerja informal,janda
62,buruh,cerai
41,buruh,duda
69,wirausaha,belum menikah
36,pengangguran,duda
48,wirausaha,cerai
48,pengangguran,belum menikah
51,pegawai tetap,janda
60,pengangguran,cerai
30,pengangguran,cerai
37,pengangguran,janda
21,buruh,menikah
67,wirausaha,duda
60,pekerja informal,duda
26,pekerja informal,cerai
21,pengangguran,belum menikah
67,pegawai tetap,cerai
30,buruh,janda
69,buruh,menikah
58,pengangguran,menikah
47,wirausaha,duda
50,wirausaha,cerai
77,pekerja informal,belum menikah
48,pegawai tetap,duda
52,wirausaha,janda
18,pengangguran,menikah
35,wirausaha,duda
51,pegawai tetap,belum menikah
70,pengangguran,duda
79,pekerja informal,cerai
61,wirausaha,belum menikah
79,wirausaha,duda
63,pegawai tetap,duda
53,pegawai tetap,cerai
35,buruh,menikah
69,pekerja informal,duda
53,pegawai tetap,cerai
53,wirausaha,belum menikah
41,pegawai tetap,janda
78,pengangguran,belum menikah
68,buruh,belum menikah
79,pekerja informal,belum menikah
56,pengangguran,duda
72,pengangguran,cerai
59,pengangguran,menikah
43,pegawai tetap,janda
28,pengangguran,janda
74,wirausaha,duda
43,pekerja informal,duda
22,buruh,janda
26,pengangguran,belum menikah
59,buruh,janda
45,buruh,duda
31,buruh,duda
21,wirausaha,cerai
65,pengangguran,cerai
35,buruh,menikah
56,pengangguran,cerai
39,buruh,cerai
44,wirausaha,cerai
49,wirausaha,menikah
77,pegawai tetap,menikah
29,buruh,duda
79,buruh,belum menikah
26,pekerja informal,janda
49,buruh,belum menikah
61,pekerja informal,janda
65,pekerja informal,menikah
20,buruh,cerai
54,buruh,duda
51,pegawai tetap,menikah
52,pegawai tetap,janda
68,pengangguran,janda
27,pekerja informal,janda
19,pegawai tetap,janda
46,buruh,duda
66,wirausaha,menikah
47,wirausaha,cerai
41,buruh,cerai
37,pegawai tetap,janda
22,pekerja informal,janda
45,pegawai tetap,duda
66,wirausaha,cerai
55,buruh,janda
39,pengangguran,janda
21,wirausaha,menikah
60,pengangguran,belum menikah
31,wirausaha,menikah
38,buruh,cerai
56,buruh,duda
78,pekerja informal,duda
48,pengangguran,belum menikah
77,buruh,menikah
64,wirausaha,duda
34,buruh,menikah
52,pekerja informal,cerai
38,wirausaha,belum menikah
49,wirausaha,menikah
20,pengangguran,cerai
38,pegawai tetap,belum menikah
78,buruh,menikah
25,pekerja informal,belum menikah
73,buruh,duda
43,pegawai tetap,belum menikah
52,pegawai tetap,duda
42,pengangguran,duda
47,buruh,janda
53,pegawai tetap,belum menikah
63,pengangguran,menikah
41,pekerja informal,cerai
57,wirausaha,belum menikah
51,pegawai tetap,cerai
26,pekerja informal,cerai
50,pekerja informal,belum menikah
24,pengangguran,menikah
37,pengangguran,janda
48,wirausaha,belum menikah
20,pegawai tetap,janda
64,buruh,janda
18,pengangguran,belum menikah
33,pengangguran,duda
59,pekerja informal,belum menikah
49,buruh,belum menikah
45,wirausaha,janda
77,pengangguran,janda
57,pekerja informal,duda
55,pekerja informal,cerai
18,pegawai tetap,belum menikah
63,pengangguran,janda
25,pegawai tetap,janda
31,wirausaha,duda
78,pegawai tetap,janda
77,pengangguran,cerai
71,pengangguran,cerai
19,pekerja informal,belum menikah
66,buruh,belum menikah
50,pekerja informal,menikah
45,pegawai tetap,belum menikah
28,wirausaha,belum menikah
58,pekerja informal,menikah
56,buruh,cerai
23,pegawai tetap,cerai
32,pengangguran,menikah
40,pegawai tetap,janda
28,wirausaha,cerai
72,pegawai tetap,duda
52,wirausaha,cerai
24,pekerja informal,duda
76,wirausaha,duda
62,pekerja informal,menikah
60,pekerja informal,janda
73,buruh,belum menikah
62,pekerja informal,duda
71,pegawai tetap,duda
79,pekerja informal,duda
55,wirausaha,cerai
34,buruh,cerai
61,pegawai tetap,menikah
29,wirausaha,duda
20,pegawai tetap,menikah
19,pegawai tetap,belum menikah
22,wirausaha,duda
18,pegawai tetap,cerai
61,pengangguran,menikah
73,pegawai tetap,janda
30,buruh,duda
57,buruh,duda
64,buruh,duda
63,pengangguran,menikah
50,buruh,cerai
19,pegawai tetap,duda
56,pegawai tetap,menikah
39,pegawai tetap,cerai
43,pegawai tetap,janda
70,pekerja informal,cerai
49,buruh,cerai
61,pekerja informal,duda
29,pengangguran,belum menikah
32,pengangguran,menikah
44,buruh,menikah
35,wirausaha,janda
67,pengangguran,cerai
27,buruh,duda
61,buruh,duda
62,pegawai tetap,cerai
33,pekerja informal,duda
73,buruh,janda
48,wirausaha,cerai
63,pegawai tetap,duda
19,pegawai tetap,cerai
43,buruh,cerai
37,pekerja informal,janda
63,pengangguran,menikah
35,pegawai tetap,menikah
51,pegawai tetap,duda
26,buruh,cerai
77,pengangguran,menikah
44,pengangguran,belum menikah
21,pegawai tetap,belum menikah
60,pegawai tetap,duda
68,pegawai tetap,menikah
20,buruh,cerai
21,pengangguran,menikah
71,pengangguran,menikah
67,pegawai tetap,belum menikah
22,pengangguran,menikah
42,buruh,menikah
79,pekerja informal,belum menikah
66,pengangguran,menikah
60,pekerja informal,cerai
72,buruh,janda
52,pegawai tetap,cerai
68,pekerja informal,janda
46,buruh,menikah
68,buruh,belum menikah
35,pengangguran,menikah
44,pekerja informal,duda
35,buruh,belum menikah
29,pekerja informal,duda
19,pengangguran,menikah
43,pengangguran,belum menikah
40,wirausaha,duda
31,wirausaha,duda
55,pegawai tetap,cerai
59,pegawai tetap,belum menikah
32,pengangguran,duda
58,pegawai tetap,cerai
68,pengangguran,menikah
35,pegawai tetap,menikah
43,pegawai tetap,duda
44,wirausaha,janda
61,wirausaha,duda
24,buruh,duda
19,pengangguran,belum menikah
58,wirausaha,duda
54,pengangguran,menikah
77,pengangguran,duda
54,wirausaha,belum menikah
47,pengangguran,janda
60,pengangguran,cerai
45,pekerja informal,duda
73,pengangguran,duda
71,buruh,menikah
60,pekerja informal,duda
68,buruh,duda
77,buruh,duda
35,pengangguran,belum menikah
62,pegawai tetap,duda
58,pegawai tetap,duda
70,pekerja informal,janda
74,pekerja informal,janda
21,buruh,belum menikah
62,pekerja informal,janda
64,pengangguran,belum menikah
68,pekerja informal,belum menikah
44,pengangguran,cerai
26,wirausaha,duda
53,pegawai tetap,janda
23,pekerja informal,duda
75,pengangguran,belum menikah
46,pekerja informal,belum menikah
26,pegawai tetap,janda
47,pekerja informal,belum menikah
53,buruh,duda
25,wirausaha,duda
51,wirausaha,cerai
30,buruh,duda
74,pengangguran,duda
28,pekerja informal,cerai
65,wirausaha,belum menikah
40,pengangguran,duda
64,pekerja informal,cerai
31,pengangguran,belum menikah
23,pekerja informal,janda
46,pengangguran,belum menikah
70,wirausaha,menikah
20,pengangguran,menikah
75,buruh,belum menikah
58,buruh,janda
31,pengangguran,cerai
67,buruh,janda
19,pekerja informal,belum menikah
72,buruh,janda
18,pekerja informal,janda
27,pekerja informal,janda
30,buruh,janda
18,pengangguran,cerai
43,wirausaha,menikah
21,wirausaha,janda
40,buruh,belum menikah
54,buruh,duda
28,pegawai tetap,cerai
78,wirausaha,janda
29,pegawai tetap,belum menikah
21,buruh,menikah
36,pegawai tetap,janda
30,wirausaha,belum menikah
46,pengangguran,belum menikah
34,pegawai tetap,cerai
19,wirausaha,cerai
71,pekerja informal,cerai
60,buruh,duda
32,buruh,cerai
28,wirausaha,belum menikah
63,wirausaha,duda
21,pekerja informal,menikah
73,pekerja informal,cerai
70,buruh,belum menikah
77,pengangguran,cerai
55,pegawai tetap,cerai
21,pengangguran,menikah
33,pegawai tetap,menikah
41,pengangguran,menikah
72,buruh,duda
40,pegawai tetap,cerai
20,pekerja informal,duda
33,wirausaha,belum menikah
74,wirausaha,menikah
44,pekerja informal,cerai
23,wirausaha,duda
57,buruh,menikah
77,wirausaha,cerai
66,pengangguran,cerai
40,buruh,duda
69,pegawai tetap,cerai
25,wirausaha,duda
18,pegawai tetap,janda
68,wirausaha,belum menikah
49,buruh,cerai
57,pegawai tetap,janda
38,pekerja informal,cerai
64,pegawai tetap,duda
37,pengangguran,menikah
28,pekerja informal,menikah
28,pengangguran,menikah
49,wirausaha,belum menikah
32,pengangguran,belum menikah
20,buruh,cerai
38,pekerja informal,belum menikah
39,pegawai tetap,menikah
31,pekerja informal,belum menikah
73,pengangguran,janda
64,pekerja informal,belum menikah
68,pekerja informal,belum menikah
47,buruh,belum menikah
56,pegawai tetap,menikah
27,pekerja informal,duda
71,pegawai tetap,cerai
56,buruh,janda
66,pekerja informal,cerai
43,pekerja informal,duda
48,pegawai tetap,cerai
33,pegawai tetap,menikah
55,pekerja informal,janda
24,pekerja informal,menikah
50,pegawai tetap,duda
18,wirausaha,duda
42,buruh,janda
49,pegawai tetap,menikah
55,pengangguran,menikah
62,wirausaha,janda
66,pekerja informal,cerai
79,buruh,menikah
68,buruh,cerai
62,pengangguran,cerai
49,pekerja informal,janda
47,pekerja informal,belum menikah
36,wirausaha,cerai
70,buruh,belum menikah
57,pekerja informal,cerai
73,buruh,janda
26,wirausaha,belum menikah
23,pekerja informal,janda
34,pengangguran,menikah
19,wirausaha,menikah
67,pekerja informal,duda
28,pegawai tetap,janda
19,pengangguran,menikah
61,buruh,menikah
19,pegawai tetap,janda
51,pegawai tetap,janda
63,buruh,duda
27,pekerja informal,cerai
43,pekerja informal,cerai
23,pegawai tetap,menikah
19,buruh,menikah
44,buruh,janda
33,pekerja informal,duda
74,pengangguran,duda
50,wirausaha,cerai
34,pengangguran,cerai
23,wirausaha,duda
41,pegawai tetap,cerai
46,pekerja informal,cerai
44,pekerja informal,belum menikah
32,pegawai tetap,cerai
58,wirausaha,duda
58,pengangguran,belum menikah
20,pengangguran,belum menikah
22,pengangguran,duda
57,buruh,cerai
50,buruh,janda
72,buruh,cerai
49,wirausaha,cerai
32,pekerja informal,janda
63,pegawai tetap,cerai
39,buruh,janda
36,pengangguran,menikah
65,pegawai tetap,menikah
23,pekerja informal,belum menikah
51,pegawai tetap,cerai
70,buruh,duda
78,buruh,belum menikah
44,pengangguran,menikah
67,pegawai tetap,duda
41,pekerja informal,cerai
27,pengangguran,cerai
36,pekerja informal,belum menikah
70,pegawai tetap,cerai
31,buruh,menikah
75,pekerja informal,duda
27,pekerja informal,duda
69,buruh,cerai
60,pekerja informal,belum menikah
52,buruh,belum menikah
49,buruh,janda
32,pengangguran,belum menikah
37,wirausaha,janda
69,pekerja informal,belum menikah
49,pegawai tetap,cerai
19,buruh,menikah
18,pengangguran,belum menikah
72,pekerja informal,cerai
45,pekerja informal,belum menikah
20,wirausaha,menikah
51,buruh,belum menikah
20,pegawai tetap,janda
34,pekerja informal,duda
46,pegawai tetap,duda
36,buruh,janda
44,buruh,menikah
38,buruh,janda
79,buruh,belum menikah
64,buruh,janda
54,pengangguran,menikah
45,pekerja informal,janda
37,pegawai tetap,cerai
41,pegawai tetap,menikah
56,buruh,janda
69,pengangguran,menikah
35,wirausaha,menikah
78,pekerja informal,menikah
57,pekerja informal,menikah
22,pengangguran,belum menikah
67,pengangguran,cerai
60,pegawai tetap,belum menikah
22,wirausaha,menikah
63,buruh,belum menikah
53,pekerja informal,menikah
35,buruh,menikah
68,pekerja informal,belum menikah
72,pegawai tetap,cerai
78,pengangguran,duda
39,pekerja informal,belum menikah
21,pegawai tetap,cerai
53,pekerja informal,duda
21,wirausaha,duda
58,buruh,janda
66,buruh,janda
25,pekerja informal,janda
60,wirausaha,cerai
54,pengangguran,cerai
33,pekerja informal,menikah
44,wirausaha,menikah
38,pegawai tetap,menikah
50,wirausaha,janda
26,pegawai tetap,janda
77,pengangguran,belum menikah
44,pekerja informal,janda
79,pengangguran,janda
68,pekerja informal,janda
71,wirausaha,belum menikah
63,buruh,belum menikah
37,pegawai tetap,janda
38,pegawai tetap,cerai
42,pegawai tetap,menikah
66,pekerja informal,belum menikah
40,wirausaha,janda
43,pegawai tetap,menikah
53,buruh,belum menikah
78,pegawai tetap,janda
57,pekerja informal,belum menikah
25,pekerja informal,belum menikah
25,pekerja informal,belum menikah
62,pekerja informal,menikah
68,wirausaha,belum menikah
30,pengangguran,janda
22,pekerja informal,janda
30,pekerja informal,cerai
37,wirausaha,belum menikah
70,pengangguran,janda
23,pekerja informal,belum menikah
78,buruh,janda
46,buruh,belum menikah
75,pegawai tetap,janda
74,pekerja informal,duda
30,pekerja informal,belum menikah
74,wirausaha,menikah
27,pekerja informal,janda
73,pengangguran,cerai
34,pekerja informal,menikah
52,pegawai tetap,duda
72,pengangguran,belum menikah
47,buruh,janda
65,wirausaha,duda
27,pekerja informal,duda
51,pegawai tetap,belum menikah
55,pekerja informal,menikah
25,pegawai tetap,cerai
57,pegawai tetap,belum menikah
57,wirausaha,janda
20,pekerja informal,cerai
28,wirausaha,duda
64,pekerja informal,duda
57,buruh,cerai
62,pengangguran,belum menikah
32,wirausaha,duda
62,buruh,belum menikah
62,wirausaha,cerai
22,pekerja informal,duda
21,pekerja informal,janda
59,buruh,cerai
75,pekerja informal,cerai
56,pengangguran,belum menikah
59,pegawai tetap,duda
61,pengangguran,cerai
75,wirausaha,cerai
56,pekerja informal,belum menikah
47,pekerja informal,janda
18,buruh,menikah
48,pengangguran,duda
54,pegawai tetap,belum menikah
50,pegawai tetap,janda
45,pengangguran,duda
31,wirausaha,janda
50,buruh,menikah
74,buruh,belum menikah
50,pegawai tetap,janda
72,pengangguran,belum menikah
60,pengangguran,cerai
42,pegawai tetap,menikah
37,pekerja informal,janda
57,pegawai tetap,janda
75,pengangguran,janda
75,pegawai tetap,menikah
66,buruh,menikah
77,pegawai tetap,duda
42,buruh,menikah
77,buruh,menikah
41,pengangguran,duda
45,wirausaha,menikah
49,pengangguran,belum menikah
56,pegawai tetap,cerai
35,wirausaha,belum menikah
78,pekerja informal,belum menikah
78,pengangguran,cerai
29,buruh,janda
53,pegawai tetap,menikah
43,buruh,duda
68,pegawai tetap,belum menikah
43,pegawai tetap,duda
38,wirausaha,menikah
20,wirausaha,duda
78,pegawai tetap,cerai
42,buruh,belum menikah
58,pengangguran,menikah
35,wirausaha,duda
27,wirausaha,belum menikah
73,pekerja informal,duda
61,wirausaha,duda
77,pekerja informal,duda
42,buruh,menikah
19,wirausaha,duda
49,buruh,duda
26,pengangguran,menikah
58,pegawai tetap,menikah
68,buruh,menikah
55,pegawai tetap,menikah
76,wirausaha,cerai
50,pengangguran,belum menikah
38,pegawai tetap,menikah
35,buruh,duda
32,pegawai tetap,cerai
19,pengangguran,janda
42,buruh,belum menikah
25,pegawai tetap,belum menikah
71,buruh,cerai
75,buruh,duda
37,pekerja informal,menikah
77,pegawai tetap,cerai
30,wirausaha,duda
76,pegawai tetap,duda
64,pegawai tetap,menikah
75,wirausaha,duda
46,pengangguran,janda
72,pegawai tetap,menikah
45,pekerja informal,belum menikah
22,pekerja informal,belum menikah
70,pengangguran,janda
57,pengangguran,menikah
79,buruh,belum menikah
77,wirausaha,menikah
20,pegawai tetap,janda
67,wirausaha,menikah
40,wirausaha,janda
49,wirausaha,cerai
18,wirausaha,duda
22,pengangguran,menikah
37,buruh,belum menikah
35,pegawai tetap,duda
50,pengangguran,cerai
32,pekerja informal,belum menikah
75,wirausaha,belum menikah
39,pekerja informal,menikah
57,pekerja informal,belum menikah
60,pegawai tetap,duda
30,pengangguran,belum menikah
28,pegawai tetap,menikah
51,wirausaha,duda
79,pekerja informal,belum menikah
56,pengangguran,cerai
52,wirausaha,cerai
53,buruh,duda
43,pengangguran,janda
34,pekerja informal,menikah
68,pegawai tetap,duda
77,pengangguran,duda
45,buruh,janda
51,pekerja informal,janda
49,pengangguran,menikah
37,wirausaha,cerai
60,pegawai tetap,cerai
41,buruh,duda
34,pegawai tetap,belum menikah
21,pengangguran,cerai
60,wirausaha,janda
34,wirausaha,cerai
23,pengangguran,cerai
21,pengangguran,belum menikah
62,pekerja informal,menikah
