nik_valid,memiliki_kk,domisili_tetap,data_ganda,masuk_dtks,status_perkawinan,pekerjaan_kepala_keluarga,jumlah_anggota_kk,usia_kepala_keluarga,layak_subsidi
tidak,ya,ya,tidak,tidak,belum menikah,pegawai,5,47,0
ya,ya,ya,tidak,ya,menikah,pegawai,1,66,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,4,34,0
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,2,69,0
ya,ya,tidak,tidak,tidak,menikah,petani,3,26,0
ya,ya,ya,tidak,tidak,menikah,petani,5,65,0
ya,ya,ya,tidak,ya,menikah,petani,3,27,1
ya,tidak,ya,tidak,tidak,menikah,wiraswasta,2,22,0
ya,ya,tidak,tidak,ya,janda/duda,buruh,3,55,1
ya,ya,ya,tidak,tidak,menikah,pegawai,4,69,0
ya,ya,tidak,tidak,ya,menikah,buruh,4,50,1
ya,ya,tidak,tidak,tidak,janda/duda,buruh,7,37,1
ya,ya,ya,tidak,ya,menikah,buruh,6,63,1
ya,ya,ya,tidak,tidak,menikah,buruh,2,43,0
ya,ya,ya,tidak,tidak,menikah,petani,3,61,1
ya,ya,ya,tidak,tidak,menikah,pegawai,4,57,0
ya,ya,tidak,tidak,tidak,menikah,pegawai,5,68,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,4,61,0
ya,ya,ya,tidak,ya,menikah,buruh,3,61,1
ya,ya,ya,ya,ya,menikah,buruh,2,68,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,4,51,0
ya,ya,ya,tidak,ya,menikah,petani,7,41,1
ya,ya,ya,tidak,ya,belum menikah,wiraswasta,5,66,0
ya,ya,ya,tidak,tidak,belum menikah,petani,4,55,0
ya,ya,ya,tidak,ya,menikah,buruh,7,47,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,8,33,1
ya,ya,ya,tidak,tidak,menikah,buruh,8,33,1
ya,ya,ya,tidak,tidak,menikah,petani,3,30,1
ya,ya,ya,tidak,ya,menikah,buruh,3,26,1
ya,ya,ya,tidak,ya,menikah,petani,6,35,1
ya,ya,ya,tidak,ya,janda/duda,buruh,7,48,1
ya,tidak,ya,tidak,tidak,belum menikah,petani,1,27,0
ya,ya,ya,tidak,ya,menikah,wiraswasta,5,59,0
ya,ya,ya,tidak,tidak,menikah,petani,2,35,0
ya,ya,ya,tidak,ya,menikah,pegawai,2,48,0
ya,ya,tidak,ya,ya,belum menikah,buruh,4,56,0
ya,ya,ya,tidak,tidak,menikah,petani,5,38,0
ya,ya,tidak,tidak,ya,menikah,buruh,4,30,1
ya,tidak,ya,tidak,tidak,menikah,buruh,1,20,0
ya,ya,ya,tidak,ya,menikah,buruh,7,36,1
ya,ya,ya,tidak,ya,menikah,petani,8,38,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,4,63,1
ya,ya,ya,tidak,tidak,menikah,pegawai,3,55,0
ya,ya,ya,tidak,ya,menikah,pegawai,1,21,0
ya,ya,tidak,tidak,tidak,belum menikah,buruh,2,21,0
ya,tidak,ya,tidak,ya,menikah,petani,7,40,1
ya,ya,ya,tidak,ya,menikah,buruh,3,44,1
ya,ya,ya,tidak,ya,menikah,buruh,4,44,1
ya,ya,ya,tidak,ya,menikah,buruh,4,27,1
ya,ya,ya,tidak,ya,belum menikah,wiraswasta,3,53,0
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,3,30,0
ya,ya,tidak,tidak,tidak,belum menikah,pegawai,4,61,0
ya,ya,ya,tidak,tidak,menikah,tidak bekerja,5,60,1
ya,ya,ya,tidak,ya,janda/duda,buruh,4,26,1
ya,ya,ya,tidak,ya,menikah,buruh,8,48,1
ya,ya,ya,tidak,ya,menikah,buruh,4,26,1
ya,ya,tidak,tidak,ya,menikah,petani,8,57,1
ya,ya,ya,tidak,tidak,belum menikah,buruh,4,41,0
ya,ya,tidak,tidak,tidak,menikah,petani,5,58,1
ya,ya,ya,tidak,ya,menikah,buruh,3,38,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,7,63,1
ya,ya,ya,tidak,ya,menikah,buruh,4,25,1
ya,ya,ya,tidak,tidak,menikah,pegawai,5,55,0
ya,tidak,ya,tidak,tidak,menikah,tidak bekerja,5,44,1
ya,ya,ya,tidak,tidak,janda/duda,buruh,8,43,1
ya,ya,tidak,tidak,ya,janda/duda,buruh,8,31,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,4,21,0
ya,ya,ya,tidak,ya,menikah,buruh,4,52,1
tidak,ya,ya,tidak,ya,janda/duda,buruh,4,32,1
ya,ya,ya,tidak,ya,belum menikah,wiraswasta,2,30,0
ya,ya,ya,tidak,ya,menikah,buruh,3,37,1
tidak,ya,ya,tidak,ya,menikah,buruh,3,39,1
ya,ya,tidak,tidak,ya,menikah,tidak bekerja,8,34,1
ya,ya,ya,tidak,ya,menikah,petani,5,34,1
ya,ya,ya,tidak,ya,menikah,buruh,6,63,1
ya,ya,ya,tidak,ya,menikah,petani,7,25,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,4,34,0
ya,ya,ya,tidak,ya,menikah,buruh,3,36,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,7,41,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,4,23,0
ya,ya,ya,tidak,ya,menikah,petani,5,31,1
ya,ya,ya,tidak,ya,menikah,wiraswasta,3,63,0
ya,ya,tidak,tidak,tidak,belum menikah,buruh,2,42,0
ya,ya,ya,tidak,tidak,menikah,pegawai,1,45,0
ya,ya,ya,tidak,tidak,menikah,buruh,5,62,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,3,45,0
ya,ya,ya,tidak,tidak,menikah,buruh,4,44,1
ya,ya,ya,tidak,ya,janda/duda,petani,3,38,1
ya,ya,ya,tidak,tidak,menikah,buruh,1,43,0
ya,ya,ya,tidak,ya,menikah,pegawai,5,26,0
ya,ya,ya,tidak,tidak,menikah,petani,2,48,0
ya,ya,ya,ya,tidak,menikah,pegawai,2,49,0
ya,ya,ya,tidak,tidak,menikah,petani,4,55,1
tidak,ya,ya,tidak,ya,menikah,petani,8,60,1
ya,ya,ya,tidak,ya,menikah,pegawai,3,66,0
ya,ya,ya,tidak,tidak,menikah,buruh,4,58,0
ya,tidak,ya,tidak,tidak,menikah,pegawai,3,22,0
ya,ya,tidak,tidak,ya,menikah,wiraswasta,1,31,0
ya,ya,ya,tidak,tidak,menikah,pegawai,1,29,0
ya,ya,ya,tidak,tidak,menikah,pegawai,4,39,0
ya,ya,ya,tidak,ya,menikah,pegawai,5,28,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,1,32,0
ya,ya,ya,tidak,tidak,menikah,pegawai,4,43,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,3,32,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,35,1
ya,ya,ya,tidak,tidak,menikah,petani,1,39,0
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,5,61,0
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,5,25,0
ya,ya,ya,tidak,ya,menikah,buruh,3,38,1
ya,ya,ya,tidak,ya,janda/duda,buruh,6,45,1
ya,ya,tidak,ya,tidak,menikah,pegawai,3,47,0
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,2,31,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,3,35,0
ya,ya,ya,tidak,ya,menikah,buruh,6,45,1
ya,ya,ya,tidak,ya,janda/duda,buruh,7,64,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,3,55,0
ya,ya,ya,tidak,ya,janda/duda,buruh,7,45,1
ya,ya,ya,tidak,ya,menikah,buruh,3,50,1
ya,ya,ya,tidak,ya,menikah,buruh,8,60,1
ya,ya,tidak,tidak,tidak,belum menikah,wiraswasta,2,52,0
ya,ya,ya,tidak,ya,menikah,petani,7,25,1
ya,ya,ya,tidak,tidak,menikah,buruh,8,45,1
ya,ya,ya,tidak,ya,belum menikah,buruh,2,69,0
ya,ya,ya,tidak,ya,janda/duda,petani,3,37,1
ya,ya,ya,tidak,ya,menikah,pegawai,1,69,0
ya,ya,ya,tidak,ya,janda/duda,petani,5,44,1
ya,ya,tidak,tidak,tidak,menikah,pegawai,1,20,0
ya,ya,ya,tidak,ya,belum menikah,pegawai,5,38,0
ya,ya,ya,tidak,ya,menikah,buruh,6,42,1
ya,ya,ya,tidak,tidak,menikah,pegawai,3,38,0
ya,ya,tidak,tidak,tidak,menikah,pegawai,3,65,0
ya,ya,ya,tidak,tidak,menikah,pegawai,5,48,0
ya,ya,ya,tidak,ya,menikah,petani,6,49,1
ya,ya,ya,tidak,ya,menikah,buruh,8,28,1
tidak,ya,tidak,ya,tidak,menikah,buruh,5,46,0
ya,ya,ya,tidak,tidak,belum menikah,buruh,3,60,0
ya,ya,tidak,tidak,ya,menikah,buruh,8,54,1
ya,tidak,ya,tidak,ya,menikah,buruh,7,27,1
ya,ya,ya,tidak,ya,menikah,pegawai,5,42,0
ya,ya,tidak,tidak,ya,menikah,pegawai,4,44,0
ya,ya,tidak,tidak,tidak,belum menikah,wiraswasta,4,46,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,4,63,0
ya,ya,ya,tidak,ya,menikah,buruh,7,30,1
ya,ya,ya,tidak,ya,menikah,buruh,5,40,1
ya,ya,tidak,tidak,ya,menikah,buruh,5,47,1
ya,ya,ya,tidak,ya,belum menikah,wiraswasta,4,26,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,5,66,0
ya,ya,ya,tidak,tidak,menikah,pegawai,2,35,0
ya,ya,ya,tidak,ya,menikah,petani,3,46,1
ya,ya,tidak,tidak,ya,menikah,buruh,4,40,1
ya,ya,ya,tidak,ya,menikah,buruh,6,57,1
ya,tidak,ya,tidak,ya,menikah,pegawai,1,61,0
tidak,ya,ya,tidak,tidak,belum menikah,pegawai,1,28,0
ya,ya,ya,tidak,tidak,menikah,buruh,5,42,0
ya,ya,tidak,tidak,tidak,menikah,petani,4,27,0
ya,ya,tidak,tidak,ya,menikah,tidak bekerja,6,30,1
ya,ya,ya,tidak,ya,menikah,petani,5,60,0
ya,ya,ya,tidak,ya,menikah,petani,5,56,0
ya,ya,ya,tidak,tidak,menikah,pegawai,2,46,0
ya,ya,ya,tidak,tidak,menikah,tidak bekerja,8,55,1
ya,ya,ya,tidak,ya,janda/duda,petani,8,51,1
ya,ya,ya,tidak,ya,belum menikah,pegawai,5,43,0
ya,ya,ya,tidak,ya,menikah,pegawai,1,32,0
ya,ya,ya,tidak,tidak,menikah,buruh,3,33,1
ya,ya,ya,tidak,tidak,menikah,buruh,3,38,0
ya,ya,ya,tidak,ya,menikah,petani,4,35,1
ya,ya,ya,ya,tidak,menikah,wiraswasta,3,24,0
ya,ya,ya,tidak,ya,menikah,buruh,5,29,1
ya,ya,ya,tidak,tidak,menikah,pegawai,1,56,0
ya,ya,ya,tidak,ya,janda/duda,petani,5,45,1
ya,ya,ya,tidak,ya,menikah,wiraswasta,4,25,0
ya,ya,ya,tidak,ya,menikah,buruh,5,41,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,2,40,0
ya,ya,ya,tidak,ya,janda/duda,petani,3,50,1
ya,ya,ya,tidak,ya,menikah,buruh,8,43,1
ya,ya,ya,tidak,ya,menikah,buruh,7,62,1
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,5,24,0
ya,ya,ya,tidak,tidak,menikah,buruh,2,33,0
ya,ya,tidak,tidak,ya,janda/duda,petani,7,45,1
ya,ya,ya,ya,ya,belum menikah,pegawai,3,66,0
tidak,ya,ya,tidak,tidak,menikah,pegawai,1,36,0
ya,ya,tidak,ya,tidak,menikah,pegawai,3,43,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,8,32,1
ya,ya,ya,tidak,ya,menikah,buruh,8,28,1
ya,ya,ya,tidak,ya,menikah,petani,3,50,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,2,21,0
tidak,ya,ya,ya,ya,menikah,tidak bekerja,4,46,1
ya,ya,ya,tidak,tidak,menikah,buruh,1,43,0
ya,ya,ya,tidak,ya,janda/duda,petani,5,27,1
ya,ya,ya,tidak,tidak,belum menikah,petani,2,64,0
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,4,23,0
ya,ya,ya,tidak,ya,menikah,buruh,4,62,1
tidak,ya,ya,tidak,ya,menikah,pegawai,4,20,0
ya,ya,ya,tidak,tidak,menikah,petani,3,22,0
ya,ya,ya,tidak,ya,menikah,buruh,4,51,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,3,38,1
ya,ya,tidak,ya,tidak,menikah,petani,3,60,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,3,24,0
ya,ya,ya,tidak,tidak,menikah,buruh,6,26,1
ya,ya,ya,tidak,ya,menikah,buruh,8,28,1
ya,ya,ya,tidak,ya,menikah,buruh,6,64,1
ya,ya,ya,tidak,ya,janda/duda,buruh,7,53,1
ya,ya,ya,tidak,ya,janda/duda,petani,3,36,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,1,37,0
ya,tidak,tidak,tidak,tidak,belum menikah,wiraswasta,4,38,0
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,1,44,0
ya,ya,ya,tidak,ya,menikah,buruh,6,39,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,3,35,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,8,31,1
ya,ya,ya,tidak,ya,menikah,buruh,7,61,1
ya,ya,ya,tidak,tidak,menikah,pegawai,2,39,0
ya,ya,ya,tidak,tidak,janda/duda,buruh,3,64,1
ya,ya,tidak,tidak,ya,menikah,buruh,8,32,1
ya,ya,ya,tidak,ya,menikah,buruh,5,47,1
ya,ya,ya,tidak,ya,menikah,petani,6,46,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,54,1
ya,ya,ya,tidak,ya,janda/duda,buruh,3,64,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,2,66,0
ya,ya,ya,tidak,ya,menikah,petani,6,61,1
ya,ya,ya,tidak,ya,menikah,petani,6,61,1
ya,ya,ya,tidak,ya,janda/duda,buruh,3,51,1
ya,ya,ya,tidak,ya,menikah,wiraswasta,4,26,0
ya,ya,ya,ya,ya,menikah,wiraswasta,3,39,0
ya,ya,ya,tidak,ya,menikah,buruh,4,44,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,7,40,1
ya,ya,ya,tidak,ya,menikah,buruh,3,52,1
ya,ya,tidak,tidak,tidak,menikah,petani,3,61,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,32,1
ya,ya,ya,tidak,tidak,menikah,petani,8,61,1
ya,ya,ya,tidak,tidak,menikah,petani,5,59,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,8,30,1
ya,ya,ya,tidak,ya,menikah,pegawai,4,67,0
ya,ya,ya,tidak,ya,menikah,wiraswasta,3,28,0
ya,ya,ya,tidak,ya,janda/duda,buruh,7,38,1
ya,ya,ya,tidak,tidak,menikah,pegawai,3,26,0
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,4,52,0
ya,ya,ya,tidak,ya,janda/duda,petani,7,40,1
ya,ya,ya,tidak,ya,menikah,buruh,3,60,1
ya,ya,ya,tidak,ya,menikah,petani,8,50,1
ya,ya,ya,tidak,tidak,belum menikah,petani,2,58,0
ya,ya,ya,tidak,ya,menikah,buruh,4,51,1
ya,ya,ya,tidak,tidak,menikah,pegawai,1,59,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,37,1
ya,ya,ya,tidak,ya,menikah,buruh,8,30,1
ya,ya,ya,tidak,ya,janda/duda,buruh,3,51,1
ya,ya,ya,ya,tidak,menikah,pegawai,5,30,0
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,7,37,1
ya,ya,ya,tidak,ya,menikah,petani,4,36,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,5,50,0
ya,ya,ya,tidak,ya,menikah,petani,3,61,1
ya,ya,ya,tidak,tidak,menikah,petani,6,29,1
ya,ya,ya,tidak,ya,menikah,buruh,8,41,1
ya,ya,ya,tidak,tidak,menikah,pegawai,4,45,0
ya,ya,tidak,tidak,ya,janda/duda,tidak bekerja,7,27,1
ya,ya,tidak,tidak,ya,menikah,tidak bekerja,5,62,1
ya,ya,ya,tidak,ya,janda/duda,petani,6,61,1
ya,ya,ya,ya,ya,belum menikah,wiraswasta,4,20,0
ya,ya,ya,tidak,tidak,menikah,petani,8,37,1
ya,ya,ya,tidak,ya,menikah,pegawai,2,61,0
ya,ya,ya,tidak,tidak,menikah,petani,2,56,0
ya,ya,ya,tidak,tidak,menikah,pegawai,5,40,0
tidak,ya,ya,tidak,tidak,menikah,wiraswasta,2,32,0
ya,ya,ya,tidak,ya,menikah,petani,5,28,1
ya,ya,ya,tidak,tidak,menikah,petani,5,36,1
ya,ya,tidak,ya,tidak,belum menikah,wiraswasta,5,22,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,1,33,0
ya,ya,ya,tidak,ya,janda/duda,petani,5,61,1
ya,ya,ya,tidak,ya,menikah,pegawai,4,47,0
ya,ya,ya,tidak,ya,menikah,buruh,4,55,1
ya,ya,ya,ya,ya,menikah,petani,8,43,1
ya,ya,ya,tidak,ya,menikah,buruh,8,35,1
tidak,tidak,ya,tidak,tidak,menikah,wiraswasta,3,29,0
tidak,ya,ya,tidak,tidak,menikah,pegawai,2,61,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,2,52,0
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,5,32,0
tidak,ya,ya,ya,tidak,belum menikah,wiraswasta,3,53,0
ya,ya,ya,tidak,ya,menikah,petani,7,37,1
ya,ya,tidak,ya,tidak,belum menikah,wiraswasta,3,25,0
ya,ya,ya,tidak,ya,menikah,petani,3,41,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,6,35,1
ya,ya,ya,tidak,ya,menikah,petani,8,46,1
ya,ya,tidak,tidak,ya,menikah,petani,3,44,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,1,64,0
ya,ya,ya,tidak,tidak,menikah,pegawai,5,41,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,3,51,0
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,4,44,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,4,38,0
ya,tidak,ya,tidak,ya,menikah,buruh,7,60,1
ya,ya,ya,tidak,tidak,janda/duda,buruh,5,36,1
ya,ya,ya,tidak,ya,janda/duda,petani,4,63,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,8,50,1
ya,ya,ya,tidak,ya,janda/duda,petani,3,35,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,4,58,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,44,1
ya,ya,ya,tidak,ya,menikah,wiraswasta,3,25,0
ya,ya,ya,tidak,tidak,belum menikah,petani,2,50,0
ya,ya,tidak,tidak,ya,menikah,petani,6,42,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,48,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,2,66,0
ya,tidak,ya,tidak,tidak,belum menikah,buruh,2,38,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,4,69,0
ya,ya,ya,tidak,ya,menikah,buruh,5,23,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,50,1
ya,ya,ya,ya,ya,menikah,tidak bekerja,8,26,1
ya,ya,tidak,tidak,tidak,menikah,pegawai,4,53,0
ya,tidak,ya,tidak,tidak,belum menikah,pegawai,1,22,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,3,58,1
ya,ya,ya,tidak,ya,menikah,buruh,5,44,1
ya,ya,ya,tidak,ya,menikah,buruh,4,30,0
ya,ya,ya,tidak,ya,janda/duda,buruh,3,60,1
ya,ya,ya,tidak,tidak,menikah,pegawai,4,35,0
ya,ya,tidak,tidak,ya,menikah,petani,7,45,1
ya,ya,ya,tidak,ya,menikah,buruh,3,51,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,4,28,1
ya,ya,ya,tidak,ya,menikah,petani,6,60,1
ya,ya,ya,tidak,ya,janda/duda,petani,6,55,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,3,27,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,8,61,1
ya,ya,tidak,tidak,ya,janda/duda,buruh,8,64,1
ya,ya,tidak,tidak,tidak,menikah,pegawai,5,58,0
ya,ya,ya,tidak,ya,menikah,petani,3,47,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,31,1
ya,ya,ya,tidak,ya,janda/duda,buruh,8,26,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,2,26,0
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,1,22,0
ya,ya,tidak,tidak,tidak,menikah,pegawai,4,37,0
ya,ya,ya,tidak,ya,menikah,petani,3,25,1
ya,ya,ya,tidak,tidak,janda/duda,petani,6,35,1
ya,ya,ya,tidak,ya,janda/duda,petani,3,26,1
ya,ya,tidak,ya,tidak,belum menikah,petani,3,34,0
ya,ya,tidak,tidak,tidak,belum menikah,pegawai,3,53,0
ya,ya,ya,tidak,ya,janda/duda,buruh,6,35,1
ya,ya,ya,tidak,ya,menikah,petani,8,53,1
ya,ya,tidak,ya,tidak,belum menikah,wiraswasta,5,36,0
ya,ya,ya,tidak,tidak,menikah,pegawai,5,39,0
ya,ya,ya,tidak,tidak,menikah,pegawai,3,67,0
tidak,ya,ya,tidak,tidak,belum menikah,wiraswasta,1,58,0
ya,ya,tidak,tidak,ya,menikah,tidak bekerja,6,40,1
ya,ya,ya,tidak,tidak,menikah,buruh,4,38,1
ya,ya,ya,tidak,tidak,janda/duda,tidak bekerja,8,27,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,5,55,0
ya,tidak,ya,tidak,ya,menikah,buruh,4,52,1
ya,ya,ya,tidak,tidak,janda/duda,buruh,6,57,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,8,31,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,8,59,1
ya,tidak,ya,tidak,ya,menikah,wiraswasta,2,63,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,2,65,0
ya,ya,ya,tidak,tidak,janda/duda,buruh,7,38,1
ya,ya,tidak,ya,ya,menikah,buruh,6,46,1
ya,ya,ya,ya,tidak,belum menikah,wiraswasta,2,46,0
ya,ya,tidak,tidak,ya,janda/duda,buruh,6,29,1
ya,ya,ya,tidak,ya,menikah,buruh,6,35,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,2,59,0
ya,ya,ya,tidak,tidak,menikah,pegawai,2,31,0
ya,ya,ya,tidak,ya,janda/duda,petani,8,49,1
ya,ya,ya,tidak,tidak,menikah,petani,4,51,0
ya,ya,ya,tidak,tidak,menikah,petani,8,32,1
ya,ya,ya,ya,ya,menikah,wiraswasta,3,57,0
ya,ya,ya,tidak,tidak,menikah,pegawai,5,38,0
ya,ya,ya,tidak,ya,menikah,petani,7,47,1
ya,ya,ya,tidak,ya,menikah,petani,6,30,1
ya,ya,ya,tidak,ya,janda/duda,petani,6,56,1
ya,ya,tidak,tidak,tidak,janda/duda,buruh,3,48,1
ya,ya,ya,tidak,ya,belum menikah,pegawai,3,62,0
ya,ya,tidak,tidak,ya,menikah,tidak bekerja,7,43,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,2,59,0
ya,ya,ya,tidak,tidak,menikah,pegawai,4,65,0
ya,ya,ya,tidak,tidak,menikah,buruh,4,45,1
ya,ya,ya,tidak,ya,menikah,buruh,4,28,1
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,1,50,0
ya,ya,ya,tidak,ya,menikah,buruh,5,46,1
ya,ya,tidak,tidak,tidak,menikah,buruh,1,52,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,2,60,0
ya,ya,ya,tidak,tidak,menikah,pegawai,2,61,0
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,2,49,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,1,25,0
ya,ya,ya,tidak,tidak,menikah,petani,8,63,1
ya,ya,ya,tidak,ya,menikah,buruh,4,25,1
ya,ya,ya,tidak,ya,menikah,petani,3,31,1
ya,ya,tidak,tidak,ya,belum menikah,wiraswasta,1,40,0
ya,ya,ya,tidak,ya,janda/duda,buruh,3,39,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,3,52,1
ya,ya,ya,ya,tidak,belum menikah,wiraswasta,4,46,0
