umur,status_pekerjaan,status_pernikahan
25,karyawan tetap,janda
69,wirausaha,belum menikah
65,pekerja informal,duda
44,buruh,cerai
40,karyawan tetap,janda
74,wirausaha,janda
70,wirausaha,janda
61,pegawai tetap,menikah
58,karyawan tetap,belum menikah
29,karyawan tetap,janda
73,buruh,cerai
43,pengangguran,duda
49,pegawai tetap,menikah
25,wirausaha,menikah
20,pegawai tetap,duda
46,pegawai tetap,duda
76,wirausaha,belum menikah
75,pekerja informal,cerai
70,karyawan tetap,belum menikah
76,pns,belum menikah
77,pns,duda
37,buruh,cerai
54,karyawan tetap,menikah
76,pegawai tetap,menikah
53,pegawai tetap,menikah
54,pengangguran,belum menikah
77,buruh,duda
39,pns,menikah
51,pns,duda
35,buruh,menikah
56,pns,cerai
28,pekerja informal,cerai
60,buruh,menikah
21,pengangguran,menikah
78,pekerja informal,cerai
74,pengangguran,menikah
51,wirausaha,menikah
40,karyawan tetap,janda
48,pegawai tetap,janda
60,buruh,cerai
47,pengangguran,belum menikah
65,pengangguran,belum menikah
52,buruh,duda
72,pns,janda
71,pns,cerai
63,buruh,cerai
43,wirausaha,menikah
29,pengangguran,menikah
68,pengangguran,cerai
77,pegawai tetap,cerai
34,karyawan tetap,duda
21,karyawan tetap,janda
20,pegawai tetap,belum menikah
53,buruh,belum menikah
72,pegawai tetap,belum menikah
54,pegawai tetap,duda
40,pekerja informal,cerai
26,pengangguran,duda
53,pekerja informal,menikah
41,buruh,janda
53,wirausaha,belum menikah
55,pengangguran,janda
60,pegawai tetap,belum menikah
42,pekerja informal,duda
57,buruh,menikah
27,pegawai tetap,cerai
37,pns,menikah
46,pekerja informal,belum menikah
42,pegawai tetap,cerai
33,pegawai tetap,menikah
63,wirausaha,janda
65,buruh,belum menikah
40,karyawan tetap,janda
21,buruh,menikah
41,buruh,duda
60,pns,duda
73,wirausaha,belum menikah
29,pekerja informal,janda
28,pekerja informal,cerai
32,wirausaha,menikah
59,karyawan tetap,cerai
30,wirausaha,duda
62,pekerja informal,belum menikah
67,pengangguran,janda
55,pegawai tetap,cerai
46,pengangguran,cerai
21,wirausaha,belum menikah
46,pegawai tetap,duda
33,buruh,belum menikah
66,pekerja informal,duda
25,pns,menikah
18,pegawai tetap,belum menikah
28,karyawan tetap,menikah
40,pengangguran,belum menikah
72,pns,belum menikah
53,buruh,janda
39,karyawan tetap,menikah
28,pegawai tetap,janda
27,wirausaha,belum menikah
25,pns,janda
37,pekerja informal,menikah
26,buruh,duda
24,wirausaha,menikah
23,pekerja informal,janda
50,pegawai tetap,belum menikah
45,pengangguran,menikah
60,pengangguran,cerai
78,pns,belum menikah
79,pekerja informal,duda
64,wirausaha,cerai
24,pekerja informal,duda
31,buruh,cerai
18,pengangguran,duda
37,wirausaha,duda
68,pengangguran,menikah
46,pegawai tetap,cerai
72,pns,cerai
34,karyawan tetap,menikah
26,wirausaha,belum menikah
28,wirausaha,belum menikah
63,karyawan tetap,janda
55,pengangguran,belum menikah
32,pekerja informal,menikah
38,pengangguran,menikah
36,wirausaha,menikah
56,karyawan tetap,belum menikah
52,karyawan tetap,menikah
38,pengangguran,janda
77,karyawan tetap,duda
74,pengangguran,duda
18,wirausaha,menikah
36,pns,cerai
57,wirausaha,menikah
68,karyawan tetap,belum menikah
32,pns,belum menikah
48,karyawan tetap,cerai
61,pekerja informal,belum menikah
60,pengangguran,menikah
40,pekerja informal,cerai
39,wirausaha,belum menikah
51,karyawan tetap,menikah
64,pengangguran,duda
25,pekerja informal,duda
18,wirausaha,menikah
52,buruh,belum menikah
64,wirausaha,belum menikah
53,karyawan tetap,menikah
58,pengangguran,menikah
25,buruh,duda
54,pekerja informal,cerai
38,karyawan tetap,duda
52,pns,menikah
55,pengangguran,duda
51,pns,belum menikah
26,pengangguran,menikah
47,buruh,janda
74,pengangguran,duda
37,pegawai tetap,duda
24,pengangguran,janda
36,wirausaha,menikah
54,wirausaha,janda
75,pengangguran,belum menikah
19,buruh,menikah
66,karyawan tetap,cerai
22,pegawai tetap,cerai
61,pns,janda
24,pns,duda
24,pegawai tetap,cerai
64,wirausaha,janda
53,pekerja informal,janda
48,wirausaha,menikah
70,pengangguran,cerai
19,pns,janda
50,pns,cerai
48,pengangguran,duda
22,pengangguran,janda
20,wirausaha,duda
73,pengangguran,janda
53,pns,cerai
53,wirausaha,duda
56,wirausaha,cerai
75,pegawai tetap,duda
70,wirausaha,duda
67,pengangguran,menikah
24,buruh,janda
74,pekerja informal,janda
76,karyawan tetap,cerai
76,karyawan tetap,duda
42,pengangguran,duda
34,pns,janda
44,pekerja informal,menikah
69,karyawan tetap,janda
31,wirausaha,belum menikah
76,buruh,menikah
53,karyawan tetap,cerai
47,pns,janda
50,pegawai tetap,belum menikah
63,buruh,duda
63,pengangguran,janda
64,buruh,menikah
21,pekerja informal,menikah
67,buruh,janda
25,pekerja informal,cerai
77,pns,cerai
64,pengangguran,menikah
45,wirausaha,cerai
53,pengangguran,belum menikah
43,pekerja informal,belum menikah
46,karyawan tetap,janda
79,pekerja informal,belum menikah
47,pegawai tetap,cerai
68,pegawai tetap,janda
61,pekerja informal,belum menikah
41,pengangguran,menikah
72,buruh,belum menikah
48,wirausaha,duda
40,pekerja informal,cerai
58,karyawan tetap,duda
42,pekerja informal,duda
73,pns,janda
63,pegawai tetap,menikah
45,pengangguran,belum menikah
51,pengangguran,janda
30,pns,menikah
59,pegawai tetap,duda
51,buruh,belum menikah
50,wirausaha,duda
63,pegawai tetap,duda
65,buruh,belum menikah
65,pegawai tetap,belum menikah
65,wirausaha,menikah
42,pns,menikah
64,pekerja informal,menikah
63,buruh,belum menikah
70,pekerja informal,duda
45,pegawai tetap,cerai
35,pengangguran,belum menikah
71,pns,belum menikah
68,pengangguran,cerai
44,wirausaha,janda
20,pekerja informal,duda
39,pegawai tetap,duda
46,pegawai tetap,menikah
59,buruh,janda
60,pengangguran,duda
52,pekerja informal,cerai
75,wirausaha,cerai
22,buruh,duda
48,pekerja informal,menikah
57,wirausaha,belum menikah
60,pengangguran,cerai
60,wirausaha,cerai
29,pegawai tetap,janda
78,karyawan tetap,menikah
42,buruh,menikah
51,buruh,menikah
76,wirausaha,menikah
55,pegawai tetap,janda
24,karyawan tetap,menikah
57,pekerja informal,menikah
65,wirausaha,menikah
40,pekerja informal,belum menikah
18,karyawan tetap,cerai
33,pekerja informal,cerai
69,pekerja informal,duda
75,pekerja informal,menikah
26,pns,duda
49,pengangguran,menikah
37,wirausaha,duda
28,karyawan tetap,duda
52,buruh,janda
70,pegawai tetap,menikah
67,pns,belum menikah
67,buruh,duda
47,wirausaha,belum menikah
19,karyawan tetap,janda
18,wirausaha,duda
54,karyawan tetap,duda
37,buruh,belum menikah
66,buruh,janda
75,pengangguran,cerai
54,pegawai tetap,menikah
62,buruh,menikah
35,pengangguran,menikah
21,pengangguran,cerai
68,pegawai tetap,cerai
45,pekerja informal,duda
68,wirausaha,menikah
29,buruh,duda
59,pegawai tetap,janda
42,buruh,belum menikah
67,pns,janda
32,pns,menikah
75,karyawan tetap,duda
47,pegawai tetap,belum menikah
53,pekerja informal,janda
45,wirausaha,duda
28,pekerja informal,janda
41,buruh,menikah
74,karyawan tetap,janda
56,buruh,duda
30,karyawan tetap,janda
66,pekerja informal,janda
36,karyawan tetap,cerai
67,wirausaha,janda
27,pegawai tetap,menikah
61,buruh,cerai
76,pns,belum menikah
34,pengangguran,menikah
22,wirausaha,belum menikah
75,wirausaha,duda
21,pns,duda
73,wirausaha,cerai
32,pns,menikah
66,pekerja informal,janda
24,pekerja informal,janda
40,pegawai tetap,belum menikah
44,wirausaha,duda
24,pegawai tetap,cerai
74,wirausaha,duda
78,pns,belum menikah
53,karyawan tetap,belum menikah
63,pekerja informal,duda
47,pekerja informal,janda
74,buruh,cerai
49,pekerja informal,janda
61,karyawan tetap,janda
61,karyawan tetap,janda
56,buruh,cerai
75,pegawai tetap,janda
47,pns,janda
62,wirausaha,belum menikah
64,buruh,cerai
27,pengangguran,belum menikah
69,pegawai tetap,janda
75,karyawan tetap,duda
69,karyawan tetap,belum menikah
62,wirausaha,janda
33,karyawan tetap,menikah
66,karyawan tetap,duda
33,wirausaha,menikah
37,karyawan tetap,duda
20,wirausaha,menikah
64,pekerja informal,cerai
78,buruh,janda
67,pegawai tetap,belum menikah
42,pekerja informal,janda
39,pengangguran,duda
58,karyawan tetap,belum menikah
41,pegawai tetap,belum menikah
29,wirausaha,menikah
30,pekerja informal,menikah
49,pekerja informal,belum menikah
75,wirausaha,belum menikah
46,pengangguran,janda
61,pengangguran,janda
31,pengangguran,menikah
42,karyawan tetap,janda
79,pegawai tetap,menikah
20,karyawan tetap,cerai
60,pengangguran,janda
45,pekerja informal,duda
24,buruh,janda
43,wirausaha,belum menikah
43,karyawan tetap,menikah
45,pegawai tetap,duda
36,pns,cerai
35,buruh,duda
25,pengangguran,menikah
76,karyawan tetap,janda
21,buruh,cerai
26,karyawan tetap,duda
35,pns,belum menikah
55,pengangguran,belum menikah
21,wirausaha,duda
21,karyawan tetap,menikah
38,pengangguran,menikah
44,pengangguran,cerai
32,pekerja informal,janda
30,karyawan tetap,menikah
23,pekerja informal,belum menikah
61,pns,cerai
62,pekerja informal,belum menikah
40,pns,menikah
56,buruh,janda
30,pegawai tetap,belum menikah
43,pekerja informal,janda
50,buruh,cerai
42,pns,belum menikah
22,wirausaha,janda
75,pns,duda
37,pegawai tetap,belum menikah
59,pengangguran,menikah
67,buruh,janda
38,pns,belum menikah
55,buruh,cerai
52,pekerja informal,belum menikah
65,buruh,belum menikah
47,pns,cerai
67,pegawai tetap,menikah
72,wirausaha,cerai
61,karyawan tetap,belum menikah
50,pns,belum menikah
23,wirausaha,cerai
35,pekerja informal,janda
42,wirausaha,janda
60,wirausaha,belum menikah
34,wirausaha,belum menikah
62,pegawai tetap,janda
29,pekerja informal,menikah
54,pegawai tetap,duda
22,pegawai tetap,menikah
69,pns,janda
31,karyawan tetap,belum menikah
66,pengangguran,janda
44,pekerja informal,duda
22,wirausaha,menikah
30,pegawai tetap,menikah
51,wirausaha,cerai
34,pns,duda
78,pekerja informal,menikah
70,buruh,duda
71,pekerja informal,belum menikah
55,pegawai tetap,menikah
56,buruh,duda
22,wirausaha,duda
35,pegawai tetap,duda
71,pengangguran,duda
62,pns,janda
28,pekerja informal,menikah
41,pekerja informal,janda
47,wirausaha,duda
40,pekerja informal,belum menikah
22,buruh,menikah
35,wirausaha,menikah
37,wirausaha,janda
75,pns,duda
46,pegawai tetap,janda
54,pekerja informal,menikah
69,buruh,duda
70,pns,cerai
63,buruh,duda
60,karyawan tetap,belum menikah
54,buruh,belum menikah
63,pekerja informal,menikah
18,pekerja informal,belum menikah
70,pekerja informal,duda
18,pns,belum menikah
50,pns,cerai
79,pekerja informal,janda
21,pengangguran,janda
47,pengangguran,cerai
60,pns,menikah
37,wirausaha,cerai
31,buruh,belum menikah
33,buruh,cerai
74,wirausaha,janda
31,karyawan tetap,janda
30,buruh,cerai
65,pekerja informal,belum menikah
29,buruh,cerai
23,pekerja informal,menikah
22,wirausaha,duda
49,pengangguran,menikah
30,buruh,menikah
25,buruh,belum menikah
70,buruh,janda
20,buruh,cerai
48,karyawan tetap,cerai
72,pegawai tetap,cerai
76,karyawan tetap,cerai
36,buruh,duda
55,pegawai tetap,duda
56,pengangguran,menikah
61,pns,belum menikah
78,pns,menikah
77,pns,cerai
55,pns,belum menikah
77,pegawai tetap,janda
29,wirausaha,menikah
56,karyawan tetap,menikah
20,wirausaha,cerai
54,wirausaha,menikah
21,buruh,cerai
51,buruh,janda
71,pegawai tetap,duda
58,buruh,belum menikah
18,buruh,cerai
32,pegawai tetap,cerai
71,pengangguran,belum menikah
65,pengangguran,janda
27,karyawan tetap,cerai
72,buruh,janda
53,buruh,menikah
47,wirausaha,belum menikah
78,pegawai tetap,duda
58,pekerja informal,cerai
29,pegawai tetap,menikah
73,pekerja informal,cerai
20,pekerja informal,janda
33,pns,belum menikah
58,buruh,cerai
46,pegawai tetap,cerai
18,pns,belum menikah
53,pns,cerai
70,pegawai tetap,belum menikah
28,pengangguran,menikah
52,buruh,menikah
27,pns,belum menikah
48,pengangguran,cerai
33,pengangguran,janda
19,pekerja informal,belum menikah
42,pekerja informal,janda
32,pengangguran,cerai
38,wirausaha,menikah
72,karyawan tetap,janda
67,wirausaha,belum menikah
28,buruh,janda
57,pns,menikah
27,buruh,duda
19,buruh,janda
18,pekerja informal,janda
21,pns,duda
52,karyawan tetap,janda
40,pns,duda
19,buruh,menikah
26,wirausaha,duda
77,buruh,janda
35,karyawan tetap,belum menikah
36,karyawan tetap,janda
25,karyawan tetap,cerai
55,pengangguran,belum menikah
36,pns,janda
49,karyawan tetap,menikah
40,pengangguran,menikah
44,wirausaha,duda
52,pegawai tetap,menikah
56,pns,cerai
67,pengangguran,menikah
67,wirausaha,belum menikah
45,pekerja informal,cerai
22,pengangguran,belum menikah
66,wirausaha,cerai
18,wirausaha,menikah
25,pns,duda
77,pegawai tetap,cerai
39,pengangguran,duda
40,karyawan tetap,duda
79,karyawan tetap,cerai
27,pegawai tetap,menikah
55,karyawan tetap,belum menikah
38,pekerja informal,janda
29,pegawai tetap,menikah
30,pekerja informal,menikah
19,pengangguran,belum menikah
20,pns,janda
73,pekerja informal,cerai
32,pengangguran,menikah
70,pns,menikah
24,buruh,menikah
19,buruh,belum menikah
22,karyawan tetap,janda
29,pekerja informal,menikah
59,pns,cerai
63,pengangguran,duda
78,wirausaha,menikah
66,pegawai tetap,menikah
32,wirausaha,menikah
36,pns,menikah
26,karyawan tetap,menikah
40,karyawan tetap,menikah
37,wirausaha,duda
36,pns,menikah
23,wirausaha,duda
22,pegawai tetap,cerai
58,buruh,cerai
44,pekerja informal,belum menikah
24,buruh,menikah
33,pengangguran,duda
48,pns,janda
37,wirausaha,belum menikah
79,pekerja informal,belum menikah
47,wirausaha,duda
25,pengangguran,janda
35,pns,menikah
45,wirausaha,janda
58,pengangguran,duda
36,pns,menikah
29,pengangguran,belum menikah
52,wirausaha,duda
27,pekerja informal,duda
50,karyawan tetap,janda
27,karyawan tetap,janda
78,pengangguran,menikah
19,wirausaha,duda
55,pns,janda
23,pengangguran,janda
47,pns,janda
72,pengangguran,menikah
34,wirausaha,cerai
71,pegawai tetap,cerai
25,pegawai tetap,belum menikah
43,karyawan tetap,duda
71,pns,cerai
49,pegawai tetap,duda
24,wirausaha,cerai
38,pengangguran,janda
65,pegawai tetap,janda
49,pegawai tetap,janda
61,pegawai tetap,cerai
72,pekerja informal,belum menikah
35,pekerja informal,janda
70,karyawan tetap,belum menikah
52,pegawai tetap,cerai
75,pns,janda
20,pekerja informal,belum menikah
41,wirausaha,menikah
49,buruh,cerai
62,buruh,duda
38,karyawan tetap,janda
51,wirausaha,belum menikah
36,pekerja informal,janda
38,pengangguran,belum menikah
70,karyawan tetap,janda
68,pegawai tetap,belum menikah
27,wirausaha,menikah
20,pns,janda
65,karyawan tetap,janda
49,pns,janda
56,pekerja informal,janda
24,wirausaha,duda
60,buruh,belum menikah
32,pekerja informal,belum menikah
50,pengangguran,duda
26,pns,janda
45,wirausaha,cerai
20,karyawan tetap,cerai
40,pns,cerai
56,pegawai tetap,menikah
44,wirausaha,belum menikah
36,wirausaha,cerai
64,pegawai tetap,janda
57,karyawan tetap,belum menikah
68,wirausaha,belum menikah
20,pekerja informal,belum menikah
72,pekerja informal,janda
47,pns,duda
74,pns,belum menikah
67,pegawai tetap,janda
44,karyawan tetap,menikah
71,buruh,janda
34,pns,cerai
75,wirausaha,janda
22,pegawai tetap,cerai
24,buruh,menikah
61,pns,duda
58,pekerja informal,belum menikah
31,pegawai tetap,cerai
56,pegawai tetap,cerai
29,pns,cerai
46,karyawan tetap,janda
63,wirausaha,belum menikah
45,pengangguran,janda
44,pns,cerai
34,buruh,belum menikah
34,pegawai tetap,cerai
22,pengangguran,duda
75,pekerja informal,menikah
79,pns,janda
30,pekerja informal,menikah
60,karyawan tetap,janda
49,pengangguran,duda
77,pns,belum menikah
22,buruh,duda
76,karyawan tetap,menikah
54,karyawan tetap,janda
62,buruh,belum menikah
65,wirausaha,duda
66,pengangguran,janda
79,buruh,belum menikah
57,pengangguran,janda
18,pengangguran,janda
39,pns,janda
34,pekerja informal,menikah
68,pns,janda
37,pengangguran,menikah
78,pegawai tetap,belum menikah
61,pekerja informal,janda
20,pekerja informal,belum menikah
32,pekerja informal,belum menikah
40,pegawai tetap,cerai
72,pegawai tetap,menikah
51,karyawan tetap,menikah
50,pns,duda
32,pengangguran,cerai
19,pengangguran,duda
32,pengangguran,janda
31,pegawai tetap,cerai
27,buruh,belum menikah
48,buruh,duda
29,pegawai tetap,janda
22,pegawai tetap,janda
39,karyawan tetap,duda
67,wirausaha,menikah
48,pengangguran,belum menikah
75,wirausaha,janda
51,pekerja informal,duda
45,buruh,duda
50,pns,cerai
45,buruh,duda
31,pns,belum menikah
49,wirausaha,menikah
75,karyawan tetap,janda
31,pekerja informal,cerai
24,pegawai tetap,belum menikah
41,wirausaha,cerai
65,pekerja informal,janda
60,pns,duda
70,pengangguran,belum menikah
69,buruh,duda
60,pns,cerai
73,pegawai tetap,menikah
77,pns,cerai
63,pns,belum menikah
44,pengangguran,menikah
71,buruh,duda
63,buruh,belum menikah
69,karyawan tetap,belum menikah
34,pekerja informal,menikah
28,buruh,belum menikah
64,pns,duda
44,pengangguran,cerai
71,pegawai tetap,duda
70,karyawan tetap,cerai
35,pengangguran,janda
38,karyawan tetap,menikah
46,pegawai tetap,duda
30,buruh,cerai
56,wirausaha,duda
66,pns,duda
47,pns,duda
79,pegawai tetap,belum menikah
47,pengangguran,janda
33,pengangguran,menikah
62,pegawai tetap,janda
19,pegawai tetap,janda
18,pengangguran,menikah
58,pns,belum menikah
26,karyawan tetap,duda
19,pns,menikah
56,pns,cerai
38,karyawan tetap,janda
51,wirausaha,duda
64,wirausaha,duda
45,pns,janda
66,karyawan tetap,menikah
44,pegawai tetap,duda
18,wirausaha,duda
36,wirausaha,janda
34,pengangguran,janda
44,buruh,cerai
42,karyawan tetap,duda
69,pengangguran,janda
73,wirausaha,menikah
65,wirausaha,janda
53,pegawai tetap,belum menikah
66,pekerja informal,duda
42,karyawan tetap,menikah
65,karyawan tetap,duda
73,buruh,janda
64,wirausaha,janda
60,pekerja informal,janda
37,karyawan tetap,cerai
79,karyawan tetap,belum menikah
66,pegawai tetap,duda
25,karyawan tetap,cerai
45,pengangguran,duda
65,pegawai tetap,duda
33,pns,duda
32,pns,duda
65,pekerja informal,cerai
25,pengangguran,belum menikah
58,pekerja informal,janda
21,pekerja informal,menikah
26,pns,menikah
42,buruh,duda
31,pegawai tetap,menikah
19,pegawai tetap,janda
60,buruh,janda
53,pns,cerai
52,pengangguran,belum menikah
57,pekerja informal,menikah
26,karyawan tetap,duda
36,karyawan tetap,janda
21,pns,cerai
78,pengangguran,cerai
61,buruh,belum menikah
25,pegawai tetap,menikah
77,wirausaha,menikah
36,pns,duda
34,wirausaha,belum menikah
39,pekerja informal,cerai
69,pengangguran,belum menikah
65,pegawai tetap,belum menikah
52,karyawan tetap,duda
76,pegawai tetap,duda
24,pengangguran,menikah
38,pekerja informal,belum menikah
78,wirausaha,belum menikah
30,pengangguran,duda
51,buruh,janda
76,buruh,janda
20,wirausaha,menikah
44,wirausaha,menikah
42,pns,janda
76,wirausaha,cerai
40,pengangguran,cerai
74,karyawan tetap,cerai
46,pns,cerai
72,pengangguran,janda
43,pekerja informal,belum menikah
27,pengangguran,menikah
76,pengangguran,menikah
35,wirausaha,duda
19,karyawan tetap,belum menikah
54,pengangguran,duda
32,wirausaha,janda
50,wirausaha,menikah
48,karyawan tetap,menikah
38,pegawai tetap,menikah
39,pns,menikah
62,wirausaha,janda
68,pns,menikah
79,karyawan tetap,belum menikah
48,pegawai tetap,belum menikah
36,buruh,duda
23,karyawan tetap,cerai
34,wirausaha,belum menikah
45,pegawai tetap,menikah
66,karyawan tetap,janda
24,pekerja informal,cerai
48,pns,belum menikah
64,pekerja informal,janda
57,buruh,duda
52,pekerja informal,janda
54,buruh,duda
32,pegawai tetap,janda
37,pns,cerai
46,pekerja informal,belum menikah
66,pns,cerai
46,pns,duda
49,buruh,belum menikah
79,pengangguran,duda
30,pegawai tetap,belum menikah
78,wirausaha,janda
57,buruh,belum menikah
72,wirausaha,cerai
74,pengangguran,duda
77,pns,menikah
38,pekerja informal,duda
40,pegawai tetap,menikah
61,pekerja informal,janda
43,wirausaha,belum menikah
23,pengangguran,belum menikah
60,pegawai tetap,cerai
65,pegawai tetap,cerai
54,pegawai tetap,belum menikah
20,pekerja informal,janda
60,buruh,menikah
46,karyawan tetap,janda
64,pegawai tetap,belum menikah
56,buruh,menikah
64,buruh,belum menikah
71,pekerja informal,cerai
30,buruh,janda
22,wirausaha,belum menikah
22,buruh,menikah
58,pengangguran,menikah
57,wirausaha,cerai
61,wirausaha,menikah
36,karyawan tetap,menikah
24,pegawai tetap,duda
59,buruh,janda
77,wirausaha,janda
23,buruh,menikah
65,pengangguran,menikah
62,buruh,janda
64,pns,janda
67,pekerja informal,cerai
77,pns,menikah
18,buruh,cerai
24,pengangguran,menikah
61,pekerja informal,janda
61,karyawan tetap,duda
51,pekerja informal,cerai
41,pengangguran,janda
66,karyawan tetap,duda
36,wirausaha,janda
70,buruh,janda
