penghasilan,jumlah_tanggungan,kondisi_rumah,status_pekerjaan,pendidikan,lama_tinggal_tahun,layak_subsidi
3746941,0,layak,PNS,SMA,4,0
1225049,3,layak,PNS,Diploma,13,0
1640473,0,sederhana,karyawan,SD,3,0
1122744,5,sederhana,PNS,Diploma,6,0
2913722,0,tidak layak,karyawan,SD,1,0
1073869,4,tidak layak,buruh harian,SMA,7,1
1431374,2,tidak layak,tidak bekerja,SMA,12,1
2521101,0,sederhana,wirausaha,SMA,1,0
2659280,5,tidak layak,PNS,SD,22,0
2759980,1,tidak layak,buruh harian,SMP,24,0
4594260,0,tidak layak,karyawan,SMA,21,0
1642613,2,sederhana,buruh harian,Sarjana,11,1
1284821,5,tidak layak,tidak bekerja,SMA,13,1
1498863,2,layak,buruh harian,SMA,8,0
4917770,1,tidak layak,petani,SD,15,0
2839765,2,layak,wirausaha,SMP,20,0
1306094,4,layak,buruh harian,SMA,29,0
4325315,3,sederhana,PNS,Diploma,24,0
1734983,3,layak,PNS,SMA,11,0
3956566,1,tidak layak,wirausaha,SMP,16,0
4215002,2,layak,wirausaha,SMA,7,0
1602276,0,sederhana,karyawan,SMA,13,0
1498863,2,layak,buruh harian,SMA,8,0
1943187,3,tidak layak,petani,SD,29,1
2250632,1,layak,wirausaha,SMA,11,0
4994192,2,tidak layak,petani,SMP,24,0
2447960,5,layak,petani,SMP,11,0
1328821,4,sederhana,buruh harian,SD,19,1
1591652,2,tidak layak,petani,SD,2,1
3526819,4,layak,tidak bekerja,SD,5,0
1749074,3,layak,wirausaha,SMA,5,0
1128391,4,sederhana,PNS,SMA,27,0
1917040,3,tidak layak,tidak bekerja,SMA,14,1
1393574,3,sederhana,tidak bekerja,SMP,16,1
4109244,2,layak,tidak bekerja,Sarjana,14,0
1534003,5,tidak layak,tidak bekerja,SMP,22,1
1753315,4,sederhana,tidak bekerja,SMP,16,1
1137023,5,sederhana,buruh harian,SMP,1,1
3596664,0,tidak layak,PNS,Sarjana,29,0
1769598,5,sederhana,tidak bekerja,SMP,8,1
1705860,4,sederhana,buruh harian,Sarjana,6,1
3710309,1,sederhana,tidak bekerja,SD,25,0
1497562,4,sederhana,petani,SMA,20,1
2291627,5,sederhana,buruh harian,Sarjana,28,0
1394540,3,tidak layak,petani,SMP,29,1
2992825,4,tidak layak,wirausaha,SMP,10,0
3713564,3,layak,tidak bekerja,SMP,12,0
1703650,2,sederhana,buruh harian,SMP,3,1
3471465,0,layak,karyawan,Diploma,9,0
4357679,5,tidak layak,karyawan,Diploma,18,0
2003171,5,sederhana,petani,SD,4,0
1484410,3,tidak layak,petani,SMA,22,1
1329365,4,sederhana,petani,SD,24,1
3411603,2,sederhana,petani,Sarjana,4,0
4351278,3,sederhana,buruh harian,SMA,11,0
1769598,5,sederhana,tidak bekerja,SMP,8,1
1437625,4,sederhana,buruh harian,SMP,22,1
3142052,1,layak,tidak bekerja,SD,16,0
1884056,1,layak,tidak bekerja,SD,15,0
2748014,2,tidak layak,petani,SMA,27,0
4121056,5,sederhana,PNS,SMA,10,0
1573189,4,tidak layak,petani,Diploma,4,1
1755678,5,sederhana,petani,SMP,16,1
1403322,3,sederhana,buruh harian,SMP,6,1
1300709,1,tidak layak,tidak bekerja,SMA,29,0
1193783,2,tidak layak,karyawan,SD,12,0
2316128,4,layak,buruh harian,SD,5,0
1536226,4,tidak layak,buruh harian,SMP,23,1
1461243,3,tidak layak,petani,SD,20,1
1960612,5,sederhana,petani,SMP,8,1
4235658,1,tidak layak,buruh harian,SMA,6,0
3433478,2,sederhana,petani,SMA,26,0
4808315,2,layak,wirausaha,Diploma,5,0
2284382,2,tidak layak,petani,Sarjana,18,0
1825816,3,tidak layak,buruh harian,SD,21,1
2389959,3,layak,PNS,SMP,16,0
2598099,0,layak,buruh harian,SD,25,0
3628263,3,layak,karyawan,SMP,9,0
1188456,5,sederhana,tidak bekerja,SMA,9,1
1087955,4,tidak layak,petani,SD,20,1
3225198,3,tidak layak,PNS,SMA,13,0
3965021,3,tidak layak,tidak bekerja,SMP,15,0
1698002,3,sederhana,buruh harian,SMA,26,1
3180712,3,tidak layak,petani,SD,13,0
1554399,4,tidak layak,buruh harian,SMA,24,1
2836185,1,tidak layak,buruh harian,Sarjana,13,0
1308449,2,tidak layak,tidak bekerja,SMA,6,1
4271723,1,sederhana,PNS,SD,11,0
1278167,5,tidak layak,buruh harian,SMP,24,1
4443609,0,sederhana,tidak bekerja,SMA,23,0
1467010,4,tidak layak,buruh harian,Diploma,2,1
4668866,3,sederhana,wirausaha,Sarjana,18,0
1315826,4,tidak layak,buruh harian,SMP,15,1
1110155,3,tidak layak,petani,SMP,29,1
1852746,4,sederhana,tidak bekerja,SD,15,1
3272158,5,tidak layak,wirausaha,SMA,9,0
2610908,4,tidak layak,PNS,SD,8,0
1383152,3,sederhana,buruh harian,Diploma,18,1
2237715,3,layak,buruh harian,SMA,28,0
2055675,4,layak,PNS,SMP,28,0
1824255,3,layak,karyawan,SMA,25,0
1282272,3,sederhana,petani,SMA,3,1
1330904,5,sederhana,buruh harian,SMA,20,1
1191232,5,sederhana,buruh harian,SD,16,1
3229084,3,sederhana,karyawan,Sarjana,5,0
1664076,3,tidak layak,tidak bekerja,SD,11,1
2078560,2,tidak layak,wirausaha,SMP,20,0
1719407,2,sederhana,tidak bekerja,SD,28,1
3843940,4,sederhana,buruh harian,SMP,15,0
3522189,5,layak,buruh harian,SMA,7,0
1830051,2,tidak layak,petani,SMA,9,1
2566847,4,layak,buruh harian,Diploma,13,0
1549239,1,layak,buruh harian,SMP,29,0
1034707,2,sederhana,petani,SMP,24,1
1932883,3,tidak layak,tidak bekerja,SMA,6,1
4464442,3,layak,karyawan,SMA,18,0
3299899,5,layak,karyawan,SMP,12,0
1990198,2,tidak layak,petani,SMP,19,1
1330817,3,sederhana,petani,SMP,21,1
1608746,5,tidak layak,buruh harian,SD,10,1
1271967,2,sederhana,petani,SD,14,1
1805497,4,tidak layak,petani,SMP,17,1
4161757,0,tidak layak,karyawan,SD,21,0
1133515,1,layak,wirausaha,Sarjana,27,0
4973915,0,tidak layak,karyawan,Sarjana,21,0
1147718,3,sederhana,petani,Diploma,27,1
1910681,3,tidak layak,petani,SD,21,1
1767524,2,sederhana,tidak bekerja,Sarjana,9,1
1190706,5,tidak layak,tidak bekerja,SD,21,1
1952082,4,layak,petani,SD,19,0
1780926,5,sederhana,petani,SMA,6,1
1094018,5,sederhana,buruh harian,SMA,5,1
1933396,4,sederhana,buruh harian,SMA,1,1
1809178,5,sederhana,buruh harian,SMP,29,1
1254444,3,tidak layak,tidak bekerja,Sarjana,19,1
1379989,4,sederhana,buruh harian,SD,3,1
4683909,1,tidak layak,wirausaha,SD,22,0
1146470,2,tidak layak,tidak bekerja,SMA,21,1
1904098,4,tidak layak,petani,SD,4,1
1961703,2,tidak layak,buruh harian,SMP,5,1
4870426,2,sederhana,buruh harian,SMA,22,0
1401921,4,layak,wirausaha,Sarjana,21,0
1245546,3,sederhana,buruh harian,SMA,5,1
1876110,4,sederhana,buruh harian,SMA,21,1
1600530,2,sederhana,buruh harian,Sarjana,4,1
1698168,3,sederhana,karyawan,SMA,8,0
1343054,5,sederhana,buruh harian,Sarjana,9,1
1060545,5,tidak layak,tidak bekerja,SD,27,1
3710527,0,layak,PNS,SMP,23,0
1060545,5,tidak layak,tidak bekerja,SD,27,1
1817052,3,sederhana,PNS,SD,8,0
4242450,3,layak,buruh harian,SMA,26,0
1156498,5,sederhana,tidak bekerja,SMA,22,1
4979017,1,tidak layak,tidak bekerja,Sarjana,16,0
1937841,1,sederhana,petani,Sarjana,21,0
1647008,5,tidak layak,petani,SMP,22,1
1941768,2,sederhana,tidak bekerja,SMA,12,1
1978080,4,tidak layak,petani,SMP,5,1
1187628,1,sederhana,petani,SMA,22,0
1466152,2,tidak layak,tidak bekerja,SD,2,1
2367763,4,tidak layak,wirausaha,Sarjana,7,0
1786958,3,sederhana,tidak bekerja,SMP,25,1
1656702,3,sederhana,buruh harian,SMA,21,1
1271967,2,sederhana,petani,SD,14,1
2924596,4,sederhana,buruh harian,SD,23,0
1960612,5,sederhana,petani,SMP,8,1
1573189,4,tidak layak,petani,Diploma,4,1
4958581,4,layak,wirausaha,SMP,17,0
1805889,5,sederhana,petani,SD,1,1
1910681,3,tidak layak,petani,SD,21,1
1205768,2,tidak layak,buruh harian,SD,17,1
1084654,5,layak,wirausaha,Diploma,18,0
1228504,2,sederhana,tidak bekerja,Sarjana,5,1
1133004,3,tidak layak,buruh harian,SMA,21,1
1961703,2,tidak layak,buruh harian,SMP,5,1
4682235,2,sederhana,tidak bekerja,SD,4,0
1572735,5,sederhana,buruh harian,SMA,7,1
2389959,3,layak,PNS,SMP,16,0
1203861,3,layak,tidak bekerja,SD,22,0
2579159,4,tidak layak,buruh harian,Sarjana,23,0
2931342,3,sederhana,PNS,SMA,27,0
1955154,2,tidak layak,tidak bekerja,Sarjana,17,1
1403081,5,sederhana,petani,Sarjana,13,1
1186833,4,tidak layak,karyawan,SMA,17,0
3955210,1,tidak layak,PNS,Sarjana,7,0
1344710,5,sederhana,tidak bekerja,SD,19,1
4573465,5,sederhana,wirausaha,SD,29,0
1330817,3,sederhana,petani,SMP,21,1
1912826,2,tidak layak,tidak bekerja,SD,24,1
1932817,5,tidak layak,tidak bekerja,Diploma,5,1
2740687,1,layak,tidak bekerja,SMP,29,0
1470452,4,tidak layak,wirausaha,Diploma,9,0
4806503,1,sederhana,wirausaha,SD,26,0
1104195,0,sederhana,karyawan,SMP,10,0
3966201,5,tidak layak,PNS,SD,6,0
1312250,2,tidak layak,tidak bekerja,Diploma,15,1
4843688,4,sederhana,tidak bekerja,SMA,23,0
1932817,5,tidak layak,tidak bekerja,Diploma,5,1
1389593,4,sederhana,tidak bekerja,SD,23,1
1330817,3,sederhana,petani,SMP,21,1
1821052,4,tidak layak,petani,SMP,18,1
4961676,3,tidak layak,buruh harian,SD,15,0
1348619,5,layak,buruh harian,SD,15,0
1065953,2,sederhana,karyawan,SD,23,0
1933396,4,sederhana,buruh harian,SMA,1,1
3257348,2,sederhana,wirausaha,SMA,17,0
1371233,2,tidak layak,buruh harian,SMA,24,1
1467010,4,tidak layak,buruh harian,Diploma,2,1
1431374,2,tidak layak,tidak bekerja,SMA,12,1
1600530,2,sederhana,buruh harian,Sarjana,4,1
1317537,3,sederhana,petani,SD,6,1
2656671,0,tidak layak,PNS,SMP,24,0
1681669,3,sederhana,petani,SMA,3,1
4024243,3,tidak layak,petani,SD,1,0
2321685,5,layak,buruh harian,SD,10,0
1854016,2,tidak layak,petani,SD,8,1
1632543,2,sederhana,tidak bekerja,SMP,5,1
3570406,5,sederhana,buruh harian,SD,28,0
2685996,3,sederhana,buruh harian,Sarjana,2,0
2855567,1,layak,tidak bekerja,SD,5,0
4627447,3,layak,PNS,SD,12,0
1330817,3,sederhana,petani,SMP,21,1
1308449,2,tidak layak,tidak bekerja,SMA,6,1
4348924,4,tidak layak,tidak bekerja,SMA,23,0
4652309,1,tidak layak,PNS,SMA,21,0
1705552,2,tidak layak,buruh harian,SMP,1,1
1315826,4,tidak layak,buruh harian,SMP,15,1
4979017,1,tidak layak,tidak bekerja,Sarjana,16,0
1935772,3,sederhana,buruh harian,SMP,19,1
3424050,4,layak,petani,SMA,14,0
1065725,5,sederhana,tidak bekerja,SMP,21,1
1753704,5,tidak layak,buruh harian,SD,20,1
1431374,2,tidak layak,tidak bekerja,SMA,12,1
1753704,5,tidak layak,buruh harian,SD,20,1
1103355,5,tidak layak,petani,Diploma,15,1
2090668,2,sederhana,petani,SMP,26,0
1023429,5,sederhana,tidak bekerja,SMA,9,1
1403081,5,sederhana,petani,Sarjana,13,1
1833731,0,sederhana,PNS,SD,5,0
1466152,2,tidak layak,tidak bekerja,SD,2,1
1600530,2,sederhana,buruh harian,Sarjana,4,1
1383152,3,sederhana,buruh harian,Diploma,18,1
4047262,0,tidak layak,wirausaha,SMP,10,0
3802238,2,tidak layak,wirausaha,SD,24,0
1139182,1,sederhana,tidak bekerja,Sarjana,13,0
1215048,5,sederhana,tidak bekerja,Diploma,24,1
1461243,3,tidak layak,petani,SD,20,1
1467010,4,tidak layak,buruh harian,Diploma,2,1
2357453,3,tidak layak,petani,SD,17,0
1549148,2,sederhana,wirausaha,SMA,23,0
1371233,2,tidak layak,buruh harian,SMA,24,1
1323390,5,tidak layak,petani,Sarjana,13,1
3850905,4,tidak layak,petani,Sarjana,28,0
3799250,3,tidak layak,tidak bekerja,SMP,14,0
2378164,3,tidak layak,karyawan,SMP,4,0
1780316,0,layak,karyawan,SMP,23,0
1967561,3,tidak layak,tidak bekerja,Diploma,29,1
1961703,2,tidak layak,buruh harian,SMP,5,1
1196769,3,tidak layak,petani,SMP,7,1
4763024,5,sederhana,tidak bekerja,SMA,9,0
1943793,3,sederhana,tidak bekerja,SD,3,1
1753704,5,tidak layak,buruh harian,SD,20,1
1196769,3,tidak layak,petani,SMP,7,1
1564678,4,tidak layak,buruh harian,SMA,16,1
3268185,1,sederhana,karyawan,Diploma,21,0
3789247,4,tidak layak,karyawan,SMA,9,0
1315826,4,tidak layak,buruh harian,SMP,15,1
1125991,3,tidak layak,tidak bekerja,SD,28,1
2615952,4,sederhana,karyawan,SMP,3,0
1278167,5,tidak layak,buruh harian,SMP,24,1
1667689,2,sederhana,buruh harian,SMP,11,1
1367003,1,tidak layak,petani,SD,27,0
3014410,2,tidak layak,buruh harian,SMA,25,0
1647341,3,tidak layak,tidak bekerja,SMP,29,1
1459297,1,tidak layak,PNS,SD,8,0
1342786,3,tidak layak,buruh harian,SMA,11,1
2419945,5,layak,PNS,SMP,12,0
4494667,5,layak,PNS,Sarjana,28,0
1554399,4,tidak layak,buruh harian,SMA,24,1
1748013,4,tidak layak,petani,SMA,23,1
1485757,5,tidak layak,buruh harian,SMA,20,1
1705552,2,tidak layak,buruh harian,SMP,1,1
4416584,3,layak,wirausaha,SMP,18,0
1000126,4,sederhana,buruh harian,SMA,22,1
4092121,3,sederhana,PNS,Sarjana,15,0
3042823,5,sederhana,karyawan,SD,12,0
1667689,2,sederhana,buruh harian,SMP,11,1
1907211,4,sederhana,buruh harian,SD,16,1
1183062,4,layak,PNS,SMA,12,0
1805497,4,tidak layak,petani,SMP,17,1
1869807,5,sederhana,PNS,SMA,6,0
2593445,3,layak,PNS,Sarjana,10,0
3058852,1,layak,buruh harian,SD,18,0
3709532,0,sederhana,petani,SD,21,0
1556110,5,tidak layak,PNS,SMP,5,0
1943793,3,sederhana,tidak bekerja,SD,3,1
1571650,5,tidak layak,tidak bekerja,SMA,5,1
1282272,3,sederhana,petani,SMA,3,1
3619372,4,sederhana,PNS,SMA,7,0
1796657,2,sederhana,tidak bekerja,Diploma,1,1
1912727,2,tidak layak,buruh harian,Sarjana,8,1
3254103,2,tidak layak,petani,SMP,21,0
1073997,3,tidak layak,petani,SMP,14,1
1573189,4,tidak layak,petani,Diploma,4,1
3548434,3,tidak layak,petani,SMA,23,0
1675510,2,tidak layak,petani,SD,12,1
1116739,4,sederhana,PNS,SD,1,0
1791743,4,tidak layak,tidak bekerja,SMA,4,1
4133211,1,tidak layak,wirausaha,SMP,10,0
1379989,4,sederhana,buruh harian,SD,3,1
2785516,4,tidak layak,buruh harian,SMA,25,0
1036321,5,sederhana,buruh harian,SMA,24,1
3746866,1,sederhana,petani,SD,5,0
1308623,1,sederhana,wirausaha,Sarjana,23,0
1845474,5,sederhana,buruh harian,SD,16,1
3298816,2,sederhana,tidak bekerja,SMP,3,0
1485757,5,tidak layak,buruh harian,SMA,20,1
1806741,5,sederhana,buruh harian,SD,14,1
1076077,4,sederhana,tidak bekerja,Diploma,21,1
1647341,3,tidak layak,tidak bekerja,SMP,29,1
4055599,5,layak,tidak bekerja,SMA,8,0
1924618,5,sederhana,buruh harian,SMA,11,1
1073997,3,tidak layak,petani,SMP,14,1
2135248,3,layak,wirausaha,SD,29,0
3456839,5,layak,wirausaha,SMP,7,0
4521441,3,tidak layak,karyawan,SMA,21,0
1331593,3,sederhana,tidak bekerja,SD,22,1
4266402,4,layak,karyawan,SMA,21,0
1654811,3,sederhana,petani,SMP,2,1
1371233,2,tidak layak,buruh harian,SMA,24,1
4686013,1,tidak layak,karyawan,SMP,11,0
3733736,1,sederhana,wirausaha,SMP,7,0
1215048,5,sederhana,tidak bekerja,Diploma,24,1
1311955,5,tidak layak,tidak bekerja,SMA,29,1
1863663,5,tidak layak,petani,Diploma,22,1
1191232,5,sederhana,buruh harian,SD,16,1
3827551,4,tidak layak,karyawan,SMP,24,0
2246713,2,tidak layak,wirausaha,SD,8,0
3709532,0,sederhana,petani,SD,21,0
1494178,4,layak,PNS,SMA,13,0
4448678,1,layak,buruh harian,SMA,8,0
3630146,5,tidak layak,karyawan,SD,3,0
4821442,1,sederhana,wirausaha,SMP,8,0
2642892,2,tidak layak,karyawan,Diploma,5,0
2947763,0,tidak layak,tidak bekerja,SD,28,0
1315826,4,tidak layak,buruh harian,SMP,15,1
2904050,1,sederhana,buruh harian,SMP,6,0
2017289,2,layak,tidak bekerja,Sarjana,28,0
4952255,1,sederhana,wirausaha,SMA,5,0
3881738,2,sederhana,petani,SD,14,0
1534003,5,tidak layak,tidak bekerja,SMP,22,1
1115359,4,tidak layak,buruh harian,SMP,15,1
1227897,2,sederhana,tidak bekerja,SD,5,1
3805843,2,sederhana,petani,SD,8,0
4955488,2,layak,PNS,Sarjana,16,0
1245546,3,sederhana,buruh harian,SMA,5,1
4603110,0,tidak layak,tidak bekerja,SMA,8,0
2215856,1,sederhana,tidak bekerja,SMA,20,0
4594058,0,layak,petani,SMA,4,0
1158588,2,sederhana,tidak bekerja,SMA,16,1
4968222,0,sederhana,karyawan,SD,12,0
1227897,2,sederhana,tidak bekerja,SD,5,1
1329365,4,sederhana,petani,SD,24,1
1671009,5,sederhana,buruh harian,SMA,17,1
1315826,4,tidak layak,buruh harian,SMP,15,1
1795600,4,tidak layak,buruh harian,SMP,1,1
4880693,3,sederhana,PNS,SMP,22,0
1342786,3,tidak layak,buruh harian,SMA,11,1
1699983,3,tidak layak,PNS,SMP,14,0
1952246,4,tidak layak,petani,SMP,23,1
1838003,2,sederhana,tidak bekerja,SD,15,1
1700336,5,tidak layak,buruh harian,SMA,5,1
4388445,0,layak,buruh harian,SD,29,0
4117697,0,layak,petani,SMP,25,0
2352144,5,tidak layak,karyawan,SMA,20,0
1912826,2,tidak layak,tidak bekerja,SD,24,1
2778539,1,layak,petani,Sarjana,15,0
1231915,5,sederhana,tidak bekerja,SMP,3,1
1288859,4,tidak layak,tidak bekerja,SD,24,1
1924133,3,tidak layak,tidak bekerja,Diploma,22,1
1939903,4,tidak layak,tidak bekerja,SMA,2,1
1066234,4,tidak layak,tidak bekerja,Sarjana,23,1
1753704,5,tidak layak,buruh harian,SD,20,1
1388349,0,tidak layak,buruh harian,SMA,10,0
2263455,1,layak,PNS,SMA,10,0
1485757,5,tidak layak,buruh harian,SMA,20,1
1133554,2,sederhana,buruh harian,SD,21,1
1147718,3,sederhana,petani,Diploma,27,1
1315826,4,tidak layak,buruh harian,SMP,15,1
1935772,3,sederhana,buruh harian,SMP,19,1
1422381,4,sederhana,tidak bekerja,SMP,9,1
1571650,5,tidak layak,tidak bekerja,SMA,5,1
2353324,3,sederhana,tidak bekerja,SD,11,0
3283520,2,sederhana,petani,Diploma,15,0
3977590,2,sederhana,wirausaha,Sarjana,4,0
1345266,4,sederhana,petani,SD,8,1
4641771,0,layak,tidak bekerja,Sarjana,17,0
1647341,3,tidak layak,tidak bekerja,SMP,29,1
1311955,5,tidak layak,tidak bekerja,SMA,29,1
2158423,2,tidak layak,buruh harian,SMP,13,0
3951090,1,tidak layak,petani,SMA,29,0
2532875,4,layak,buruh harian,SMA,3,0
2522688,1,layak,karyawan,SMA,27,0
3090545,4,sederhana,PNS,SMA,9,0
1144539,4,tidak layak,petani,SD,6,1
4621581,0,sederhana,petani,SMA,26,0
1935772,3,sederhana,buruh harian,SMP,19,1
4097042,4,tidak layak,buruh harian,SD,13,0
2589228,0,sederhana,tidak bekerja,SMP,20,0
1087955,4,tidak layak,petani,SD,20,1
1067661,2,tidak layak,karyawan,SMA,17,0
2999284,5,layak,buruh harian,SMA,13,0
2588878,5,sederhana,buruh harian,SMP,28,0
1694892,2,tidak layak,tidak bekerja,SMA,17,1
3562046,1,tidak layak,PNS,SMP,6,0
1729497,3,tidak layak,tidak bekerja,SMA,7,1
1208944,4,layak,buruh harian,Diploma,20,0
2800072,1,tidak layak,wirausaha,SD,24,0
3943295,3,sederhana,tidak bekerja,Diploma,16,0
1515693,2,layak,wirausaha,SMA,27,0
1656951,5,layak,tidak bekerja,Diploma,24,0
3937025,5,tidak layak,karyawan,SMP,9,0
1647008,5,tidak layak,petani,SMP,22,1
4306656,1,layak,wirausaha,SMP,21,0
1786958,3,sederhana,tidak bekerja,SMP,25,1
1285711,1,tidak layak,PNS,SMA,9,0
1955154,2,tidak layak,tidak bekerja,Sarjana,17,1
1896942,4,tidak layak,petani,SMA,22,1
1196769,3,tidak layak,petani,SMP,7,1
2359231,4,tidak layak,buruh harian,Diploma,28,0
3957715,1,sederhana,karyawan,SMA,1,0
2598099,0,layak,buruh harian,SD,25,0
4850241,2,sederhana,buruh harian,SMP,15,0
