jumlah_tanggungan,penghasilan,kondisi_rumah,layak_subsidi
6,9922298,sangat sederhana,0
5,7450413,semi permanen,0
0,9691698,layak,0
8,2912991,layak,1
7,2523586,sangat sederhana,1
6,1308614,semi permanen,1
5,4186699,tidak layak,1
3,4084351,layak,0
9,1816041,semi permanen,1
7,4052540,semi permanen,1
2,5160664,tidak layak,0
8,2693263,tidak layak,1
2,9457053,semi permanen,0
4,4341031,layak,0
9,5865657,sangat sederhana,1
5,6860551,layak,0
5,8605329,tidak layak,0
7,4471610,sangat sederhana,1
8,4515786,semi permanen,1
1,4148296,sangat sederhana,1
0,4427500,layak,0
3,3218675,semi permanen,1
5,4335560,semi permanen,1
4,1945786,semi permanen,1
7,2016324,layak,1
2,3245179,layak,0
3,2877778,semi permanen,1
4,4602336,tidak layak,1
1,7689838,tidak layak,0
6,3858446,sangat sederhana,1
0,3807396,sangat sederhana,1
1,7473803,sangat sederhana,0
6,9266362,tidak layak,0
7,1297060,layak,1
3,2160468,semi permanen,1
8,7980768,semi permanen,0
0,9636006,layak,0
5,6494465,sangat sederhana,0
7,8713068,semi permanen,0
9,6476066,layak,0
5,3033679,sangat sederhana,1
8,2260767,layak,1
1,9895991,sangat sederhana,0
1,6353287,semi permanen,0
0,2759784,layak,0
7,1934582,layak,1
5,1653200,tidak layak,1
6,4361972,sangat sederhana,1
8,9285588,tidak layak,0
0,6499052,tidak layak,0
2,4463234,sangat sederhana,1
8,5534620,semi permanen,1
9,5768052,sangat sederhana,1
1,5293080,layak,0
6,1755403,sangat sederhana,1
3,9479172,sangat sederhana,0
2,7413917,tidak layak,0
0,7448833,tidak layak,0
4,1713328,tidak layak,1
7,8967170,tidak layak,0
5,4907181,layak,1
4,5165728,sangat sederhana,0
3,1442775,semi permanen,1
9,1081139,layak,1
9,5677785,sangat sederhana,1
5,5557800,layak,1
7,2855844,semi permanen,1
8,5646287,layak,1
7,3528102,tidak layak,1
7,7308032,layak,0
8,4991383,layak,1
5,9534634,tidak layak,0
0,4720199,layak,0
1,4476358,tidak layak,1
6,2679474,tidak layak,1
6,2080653,sangat sederhana,1
9,5385675,layak,1
9,1605936,layak,1
1,4330429,sangat sederhana,1
0,4773750,layak,0
1,1775533,sangat sederhana,1
7,5482699,sangat sederhana,1
9,1205986,semi permanen,1
6,5099463,tidak layak,1
3,6365247,semi permanen,0
0,6522097,semi permanen,0
8,6529955,tidak layak,0
2,7992201,tidak layak,0
2,2600053,semi permanen,1
4,9076638,sangat sederhana,0
4,3274057,sangat sederhana,1
9,4058440,tidak layak,1
7,5211096,tidak layak,1
9,4530632,semi permanen,1
5,6049101,sangat sederhana,0
4,6092096,layak,0
5,1298461,tidak layak,1
5,4008329,tidak layak,1
7,1088212,tidak layak,1
3,7479138,semi permanen,0
0,2956576,semi permanen,1
0,7840135,layak,0
0,2838560,semi permanen,1
5,9357541,tidak layak,0
2,9787029,layak,0
2,3810118,sangat sederhana,1
7,3394759,semi permanen,1
4,6014732,tidak layak,0
8,8099975,semi permanen,0
8,8841030,sangat sederhana,0
9,8219726,layak,0
3,2255659,tidak layak,1
9,6879969,semi permanen,0
0,9144298,semi permanen,0
1,5013268,semi permanen,0
5,6097661,semi permanen,0
4,3984082,semi permanen,1
1,1985308,semi permanen,1
1,2528997,layak,0
8,1631602,tidak layak,1
3,2039974,layak,0
2,5944434,semi permanen,0
8,8524862,semi permanen,0
5,3620107,tidak layak,1
7,6006856,sangat sederhana,0
5,2089100,layak,1
4,4521669,semi permanen,1
7,8020345,sangat sederhana,0
9,7374122,tidak layak,0
0,7510949,tidak layak,0
1,7635097,layak,0
5,2618801,semi permanen,1
7,5020507,sangat sederhana,1
5,3446902,tidak layak,1
1,2052298,tidak layak,1
2,6859508,tidak layak,0
6,9817773,layak,0
8,8106910,semi permanen,0
0,4022861,semi permanen,1
5,5372696,tidak layak,1
0,5799208,semi permanen,0
7,8484200,semi permanen,0
4,8791096,layak,0
0,4794942,layak,0
0,2883865,sangat sederhana,1
2,5895733,semi permanen,0
0,5108014,layak,0
3,6391405,sangat sederhana,0
6,6590649,sangat sederhana,0
5,4250789,layak,1
8,5527534,sangat sederhana,1
8,6398675,layak,0
8,4314868,layak,1
1,4750227,tidak layak,1
5,4044090,tidak layak,1
3,8555853,semi permanen,0
0,1479335,layak,0
8,4279501,semi permanen,1
4,5324306,tidak layak,0
5,2179315,sangat sederhana,1
5,9912100,semi permanen,0
6,2470454,sangat sederhana,1
2,8491446,layak,0
1,1078648,semi permanen,1
9,9519582,layak,0
3,5561797,layak,0
3,8615800,layak,0
2,9184273,sangat sederhana,0
6,5017559,layak,1
5,9115397,layak,0
4,4480787,sangat sederhana,1
9,4491324,sangat sederhana,1
7,8117593,sangat sederhana,0
8,9675577,layak,0
8,2832787,semi permanen,1
6,9322775,semi permanen,0
5,2193051,semi permanen,1
1,9541746,tidak layak,0
6,2362818,semi permanen,1
7,7503629,sangat sederhana,0
8,7507047,tidak layak,0
8,6020093,tidak layak,0
5,4156905,tidak layak,1
9,8235716,sangat sederhana,0
0,5296514,tidak layak,0
6,5536350,semi permanen,1
1,7422824,semi permanen,0
6,5460715,sangat sederhana,1
3,9865598,sangat sederhana,0
7,4250114,sangat sederhana,1
6,5332492,semi permanen,1
2,3931838,tidak layak,1
8,2545304,sangat sederhana,1
4,4070879,layak,0
8,9337878,tidak layak,0
6,8898236,semi permanen,0
6,4148863,sangat sederhana,1
6,9081471,tidak layak,0
2,1681510,tidak layak,1
5,7485048,layak,0
9,3585772,sangat sederhana,1
3,4223356,semi permanen,1
6,6843003,sangat sederhana,0
4,4057782,semi permanen,1
9,3825916,semi permanen,1
9,4343998,tidak layak,1
6,2151781,semi permanen,1
0,8805350,layak,0
8,9054289,tidak layak,0
4,8674409,layak,0
5,4523820,tidak layak,1
5,5840951,layak,1
7,8325227,layak,0
2,8911034,semi permanen,0
3,6259612,layak,0
1,1777189,tidak layak,1
4,2611982,sangat sederhana,1
2,8712029,semi permanen,0
8,1646939,semi permanen,1
1,8962722,layak,0
5,7029624,tidak layak,0
0,6478381,semi permanen,0
8,4446842,tidak layak,1
4,9588725,layak,0
3,3325488,tidak layak,1
8,6215614,layak,0
3,6324265,semi permanen,0
7,8289079,semi permanen,0
1,9281288,sangat sederhana,0
5,3529469,layak,1
1,7073918,semi permanen,0
9,6640492,layak,0
6,6548988,tidak layak,0
9,6940268,semi permanen,0
7,7512820,sangat sederhana,0
5,1369090,layak,1
2,4219262,layak,0
7,3122877,tidak layak,1
4,3452920,tidak layak,1
2,6052586,tidak layak,0
8,7755756,semi permanen,0
5,3263242,tidak layak,1
7,8202337,sangat sederhana,0
7,8766912,semi permanen,0
4,8072903,tidak layak,0
3,7991118,tidak layak,0
7,3203452,layak,1
8,8389558,layak,0
6,3817713,layak,1
7,5137166,layak,1
0,5735389,semi permanen,0
4,3796861,layak,0
9,2644416,tidak layak,1
4,8476466,layak,0
6,6174634,layak,0
8,3184890,tidak layak,1
6,3895809,tidak layak,1
7,5970627,layak,1
8,1123591,tidak layak,1
9,1866486,layak,1
4,2587952,layak,1
9,7501221,tidak layak,0
6,6865039,sangat sederhana,0
2,6151549,tidak layak,0
3,2445384,sangat sederhana,1
1,8987272,semi permanen,0
7,6407261,tidak layak,0
8,2520697,sangat sederhana,1
0,7919526,sangat sederhana,0
4,1211076,sangat sederhana,1
9,5151000,layak,1
0,9386689,semi permanen,0
3,4489381,semi permanen,1
5,2995818,sangat sederhana,1
1,7524409,semi permanen,0
1,6786315,layak,0
1,5226164,sangat sederhana,0
3,8395756,semi permanen,0
8,9875635,layak,0
5,5806350,layak,1
0,2801491,layak,0
9,6913793,semi permanen,0
9,1981906,sangat sederhana,1
4,9820919,layak,0
7,1158929,layak,1
5,8791502,layak,0
8,2885003,semi permanen,1
7,4810589,sangat sederhana,1
6,6753237,sangat sederhana,0
3,6962360,tidak layak,0
3,5278632,sangat sederhana,0
8,4078313,semi permanen,1
1,9739722,tidak layak,0
8,4405209,sangat sederhana,1
3,3344741,layak,0
7,6081268,layak,0
7,2937691,semi permanen,1
5,8733454,tidak layak,0
4,4260115,sangat sederhana,1
7,1632853,sangat sederhana,1
7,5419592,tidak layak,1
7,1033785,tidak layak,1
2,9960222,semi permanen,0
2,6292832,layak,0
0,5300276,semi permanen,0
6,5656760,sangat sederhana,1
5,6276067,layak,0
8,3608733,layak,1
7,6509596,layak,0
6,3188415,sangat sederhana,1
0,6617473,layak,0
2,4172225,tidak layak,1
4,9093068,semi permanen,0
0,3425618,semi permanen,1
2,9265711,sangat sederhana,0
8,3821581,semi permanen,1
0,2450987,sangat sederhana,1
3,1161141,sangat sederhana,1
4,1372055,sangat sederhana,1
2,2848922,semi permanen,1
9,2294075,tidak layak,1
9,4840633,layak,1
2,8739902,layak,0
4,9377239,layak,0
2,6120700,sangat sederhana,0
4,1695149,semi permanen,1
2,3839770,tidak layak,1
7,1363521,semi permanen,1
9,3212100,tidak layak,1
2,6139848,layak,0
1,4755275,semi permanen,1
4,8138245,layak,0
8,5339826,semi permanen,1
1,3266955,tidak layak,1
3,6952466,sangat sederhana,0
1,5948193,sangat sederhana,0
8,3405578,layak,1
7,5859706,layak,1
3,6468431,layak,0
6,5251520,semi permanen,1
0,6243165,semi permanen,0
6,4192608,tidak layak,1
5,8516624,tidak layak,0
8,9634650,semi permanen,0
8,6096999,sangat sederhana,0
8,3566163,tidak layak,1
9,7874238,layak,0
0,8836125,layak,0
8,8747855,sangat sederhana,0
4,2737784,sangat sederhana,1
0,4042255,sangat sederhana,1
8,1693114,tidak layak,1
5,4182251,sangat sederhana,1
0,1311752,sangat sederhana,1
4,9894323,layak,0
5,2739527,sangat sederhana,1
8,1612247,sangat sederhana,1
5,5201629,sangat sederhana,1
2,1543959,semi permanen,1
3,6021435,layak,0
3,2431658,semi permanen,1
9,2174440,semi permanen,1
8,6204975,semi permanen,0
2,7925073,layak,0
9,5469862,semi permanen,1
1,4529421,layak,0
3,8220244,layak,0
4,2614963,layak,1
4,1180055,layak,0
4,9899436,semi permanen,0
0,9717014,semi permanen,0
2,8401651,sangat sederhana,0
5,7282590,layak,0
1,8275502,layak,0
9,3914529,tidak layak,1
1,5632166,sangat sederhana,0
9,9021568,semi permanen,0
6,2381702,semi permanen,1
3,7508735,sangat sederhana,0
8,7156849,layak,0
2,6562230,semi permanen,0
4,3277932,sangat sederhana,1
6,2328792,layak,1
4,3895218,layak,0
5,5805664,sangat sederhana,1
6,2883383,semi permanen,1
6,3403417,sangat sederhana,1
2,8669077,semi permanen,0
6,4993609,tidak layak,1
8,2872964,semi permanen,1
6,7849331,layak,0
4,5420780,semi permanen,0
1,1010623,sangat sederhana,1
1,9220637,semi permanen,0
6,9495826,tidak layak,0
3,1034096,sangat sederhana,1
4,3415888,layak,1
2,2350397,sangat sederhana,1
4,5732454,sangat sederhana,0
2,8758373,semi permanen,0
9,9454632,layak,0
2,5810604,sangat sederhana,0
5,7881567,sangat sederhana,0
6,5595453,semi permanen,1
7,2679867,layak,1
7,6440851,semi permanen,0
8,1495060,tidak layak,1
7,2717417,layak,1
1,8145608,layak,0
2,6792217,sangat sederhana,0
5,4253956,tidak layak,1
4,8196098,semi permanen,0
9,2413290,semi permanen,1
4,8974793,tidak layak,0
8,5331797,tidak layak,1
6,1779700,semi permanen,1
5,8314427,sangat sederhana,0
4,1477061,tidak layak,1
6,9937378,tidak layak,0
1,3059330,tidak layak,1
4,2037928,layak,1
9,4038582,semi permanen,1
1,8743995,tidak layak,0
0,6105889,semi permanen,0
0,5096194,layak,0
0,5150242,tidak layak,0
4,9317043,sangat sederhana,0
2,2511456,tidak layak,1
8,3696439,layak,1
5,1365673,tidak layak,1
7,1587177,semi permanen,1
7,7533112,layak,0
1,6724618,tidak layak,0
0,1998416,layak,0
5,2965573,layak,1
0,2769618,tidak layak,1
8,7426380,semi permanen,0
9,2799723,layak,1
7,4775764,layak,1
3,5781604,semi permanen,0
5,2008147,sangat sederhana,1
9,4809611,sangat sederhana,1
4,2747996,semi permanen,1
3,1605169,sangat sederhana,1
7,1308624,sangat sederhana,1
4,7712877,sangat sederhana,0
6,1890197,semi permanen,1
7,4633055,semi permanen,1
2,1812245,layak,0
4,7460403,semi permanen,0
5,4327047,sangat sederhana,1
9,3760225,layak,1
4,3554051,layak,0
0,3023728,semi permanen,1
2,4128471,tidak layak,1
3,8175174,tidak layak,0
1,9187606,sangat sederhana,0
5,8920783,layak,0
1,9792353,sangat sederhana,0
2,5579497,sangat sederhana,0
0,5322157,tidak layak,0
7,7368789,semi permanen,0
2,6566236,semi permanen,0
8,6522831,semi permanen,0
4,9786652,semi permanen,0
0,5170101,tidak layak,0
9,8173614,sangat sederhana,0
3,1337704,layak,0
7,1600995,sangat sederhana,1
6,5633106,tidak layak,1
2,1388282,semi permanen,1
7,9892274,semi permanen,0
1,5830264,semi permanen,0
4,6140538,layak,0
7,4650662,tidak layak,1
3,8598283,semi permanen,0
1,6093012,tidak layak,0
0,9312637,sangat sederhana,0
8,5628439,tidak layak,1
5,4665968,tidak layak,1
5,8880395,sangat sederhana,0
9,3106716,semi permanen,1
6,9076870,layak,0
4,6541794,semi permanen,0
4,5702022,sangat sederhana,0
4,4296055,semi permanen,1
3,2513389,semi permanen,1
4,3572426,tidak layak,1
2,4595076,semi permanen,1
5,6835409,layak,0
6,3654205,layak,1
6,8687153,tidak layak,0
0,4982077,semi permanen,1
3,9600065,semi permanen,0
7,6456859,layak,0
3,4791611,sangat sederhana,1
3,9924272,semi permanen,0
3,6487975,tidak layak,0
6,6364587,layak,0
1,6043921,layak,0
2,1466612,sangat sederhana,1
6,3811352,sangat sederhana,1
7,4659607,layak,1
8,3637794,tidak layak,1
4,3423444,sangat sederhana,1
6,9914506,layak,0
3,6548832,semi permanen,0
3,6485916,layak,0
3,2375224,layak,0
1,6755096,sangat sederhana,0
1,3509687,sangat sederhana,1
0,5997179,sangat sederhana,0
3,6442653,semi permanen,0
4,6422864,sangat sederhana,0
2,6497434,layak,0
5,2124000,tidak layak,1
2,8551330,layak,0
6,6455493,semi permanen,0
7,6570883,tidak layak,0
8,2045007,layak,1
6,2799724,tidak layak,1
9,6254892,layak,0
6,5130628,layak,1
1,6185978,layak,0
2,1685845,tidak layak,1
4,1706584,layak,0
2,7727868,tidak layak,0
0,5314723,semi permanen,0
6,4155880,layak,1
7,5561858,semi permanen,1
3,7448224,layak,0
1,8164257,sangat sederhana,0
7,1728052,layak,1
3,4726025,tidak layak,1
9,4483895,sangat sederhana,1
4,2317813,semi permanen,1
5,8169966,sangat sederhana,0
5,7155864,tidak layak,0
0,6904802,sangat sederhana,0
7,1611785,semi permanen,1
4,6404801,layak,0
0,5494167,layak,0
6,4413318,layak,1
4,1757109,tidak layak,1
4,4292914,layak,0
2,2111289,semi permanen,1
2,2358783,layak,0
7,3484323,tidak layak,1
8,9006643,layak,0
9,5908046,sangat sederhana,1
5,9367930,sangat sederhana,0
1,7015254,tidak layak,0
0,9828557,sangat sederhana,0
4,3622424,layak,0
2,6531346,semi permanen,0
5,1928265,tidak layak,1
0,6583080,sangat sederhana,0
8,6129487,layak,0
8,1840084,tidak layak,1
0,9128663,semi permanen,0
5,2353576,semi permanen,1
9,6578500,tidak layak,0
4,2610788,semi permanen,1
9,8271006,sangat sederhana,0
9,4594372,tidak layak,1
6,9258334,semi permanen,0
9,9472494,tidak layak,0
6,2143035,layak,1
6,6767945,semi permanen,0
1,4006297,tidak layak,1
0,6613693,tidak layak,0
2,2284710,tidak layak,1
1,1059680,semi permanen,1
2,3167295,layak,0
3,5953571,layak,0
4,2723968,sangat sederhana,1
3,1126064,semi permanen,1
3,2944891,semi permanen,1
1,8001565,tidak layak,0
1,7294345,tidak layak,0
4,4981107,layak,0
8,9746212,layak,0
9,8822581,semi permanen,0
6,6214656,semi permanen,0
5,7938115,tidak layak,0
2,1522757,sangat sederhana,1
1,6411289,sangat sederhana,0
8,4841040,semi permanen,1
3,5610216,tidak layak,0
9,3349748,sangat sederhana,1
0,8513127,sangat sederhana,0
7,6014385,tidak layak,0
7,2839153,semi permanen,1
8,9023006,semi permanen,0
6,6172887,sangat sederhana,0
2,3868752,semi permanen,1
6,7827634,sangat sederhana,0
0,8694071,tidak layak,0
1,7185242,tidak layak,0
9,1857208,sangat sederhana,1
4,1916171,sangat sederhana,1
5,3623300,layak,1
3,8305807,sangat sederhana,0
8,4174457,sangat sederhana,1
0,1651204,layak,0
2,3721491,tidak layak,1
0,3275076,tidak layak,1
8,4335386,layak,1
7,9014077,sangat sederhana,0
8,9518782,sangat sederhana,0
2,6059855,semi permanen,0
3,6093126,semi permanen,0
6,8802642,layak,0
4,8260059,layak,0
9,9917002,layak,0
0,5820537,layak,0
9,1259812,semi permanen,1
3,9735256,sangat sederhana,0
7,5742988,semi permanen,1
4,3492557,sangat sederhana,1
8,6962231,layak,0
8,6762693,tidak layak,0
9,9159950,sangat sederhana,0
8,7285311,sangat sederhana,0
2,1428757,sangat sederhana,1
5,9417661,tidak layak,0
9,5498703,semi permanen,1
9,1733829,semi permanen,1
7,8200717,semi permanen,0
8,8826206,layak,0
3,6574922,tidak layak,0
3,7583644,tidak layak,0
8,7810797,semi permanen,0
2,3947104,sangat sederhana,1
2,7504673,sangat sederhana,0
0,3268769,semi permanen,1
9,3558084,sangat sederhana,1
5,9518498,tidak layak,0
9,9866602,tidak layak,0
1,6691357,sangat sederhana,0
2,3992099,semi permanen,1
9,3222010,layak,1
4,4815944,semi permanen,1
9,7866494,semi permanen,0
1,9132946,layak,0
4,4022005,layak,0
1,3671124,sangat sederhana,1
4,1285439,semi permanen,1
2,3753330,layak,0
3,5812676,tidak layak,0
4,2653513,tidak layak,1
4,7881527,layak,0
0,1250406,tidak layak,1
6,4370713,semi permanen,1
8,6598637,semi permanen,0
6,2197888,tidak layak,1
8,8929971,tidak layak,0
4,1004689,layak,0
1,9200185,tidak layak,0
3,3679305,tidak layak,1
3,6108704,layak,0
9,6108750,semi permanen,0
1,1225108,tidak layak,1
0,5628414,semi permanen,0
7,3000544,sangat sederhana,1
7,5883554,semi permanen,1
9,7040909,tidak layak,0
9,2569750,sangat sederhana,1
3,1305725,sangat sederhana,1
4,1007382,layak,0
7,2081828,layak,1
0,5328858,semi permanen,0
9,2962755,sangat sederhana,1
1,5019153,sangat sederhana,0
2,1169204,semi permanen,1
7,1870257,semi permanen,1
9,6071696,sangat sederhana,0
3,3185060,tidak layak,1
4,7895840,sangat sederhana,0
1,8347696,tidak layak,0
4,3027431,sangat sederhana,1
7,2287992,tidak layak,1
7,4581920,sangat sederhana,1
9,4685316,layak,1
6,4712114,semi permanen,1
8,7375792,semi permanen,0
0,5235817,layak,0
0,6127568,tidak layak,0
7,7842902,semi permanen,0
2,7668611,sangat sederhana,0
7,4031506,tidak layak,1
8,3929655,sangat sederhana,1
2,3423517,tidak layak,1
0,2085376,layak,0
9,9425947,layak,0
5,2793489,tidak layak,1
6,3600908,sangat sederhana,1
5,1693680,sangat sederhana,1
0,9729160,semi permanen,0
9,5936040,tidak layak,1
1,1898670,layak,0
8,7324305,tidak layak,0
6,3616540,tidak layak,1
8,1086505,semi permanen,1
5,7121891,semi permanen,0
5,8826485,semi permanen,0
2,2583049,sangat sederhana,1
1,2973346,sangat sederhana,1
7,4237980,layak,1
7,9622806,sangat sederhana,0
1,5047577,sangat sederhana,0
3,2596447,layak,0
6,8305091,tidak layak,0
3,6455959,sangat sederhana,0
5,4905747,semi permanen,1
5,7959249,sangat sederhana,0
6,2601549,semi permanen,1
8,6102172,sangat sederhana,0
8,3757641,tidak layak,1
1,9884699,sangat sederhana,0
7,3650281,sangat sederhana,1
7,1845574,semi permanen,1
2,4954056,sangat sederhana,1
5,7261319,semi permanen,0
1,5339313,tidak layak,0
6,3450106,tidak layak,1
3,3517140,tidak layak,1
0,4920467,layak,0
3,7788429,layak,0
7,7485097,layak,0
6,2415723,semi permanen,1
0,9061542,tidak layak,0
9,4997659,tidak layak,1
9,2743240,sangat sederhana,1
3,3348410,layak,0
0,9571869,semi permanen,0
0,5408958,layak,0
0,7159437,tidak layak,0
8,3329641,semi permanen,1
4,1103463,layak,0
3,4268756,sangat sederhana,1
9,9775482,semi permanen,0
7,4849473,semi permanen,1
5,1622803,tidak layak,1
5,4986950,tidak layak,1
4,8872120,semi permanen,0
5,7137769,semi permanen,0
0,3545343,sangat sederhana,1
2,2354103,layak,0
