umur,status_pekerjaan,status_pernikahan,layak_subsidi
45,buruh,belum menikah,0
44,pns,janda,0
52,pekerja informal,menikah,0
56,pns,belum menikah,0
33,pengangguran,janda,0
29,pekerja informal,duda,0
27,pns,janda,0
52,wirausaha,cerai,0
51,karyawan tetap,menikah,0
40,karyawan tetap,menikah,0
75,buruh,duda,1
72,pegawai tetap,cerai,0
33,wirausaha,cerai,0
26,pns,janda,0
71,pengangguran,belum menikah,0
78,karyawan tetap,duda,0
36,buruh,cerai,0
76,pekerja informal,belum menikah,0
49,buruh,duda,0
43,pns,menikah,0
61,pengangguran,janda,0
64,pekerja informal,duda,0
74,pekerja informal,belum menikah,0
48,pekerja informal,duda,0
63,wirausaha,janda,1
23,buruh,janda,0
33,pns,cerai,0
64,buruh,belum menikah,0
50,karyawan tetap,belum menikah,0
67,pekerja informal,duda,1
43,pengangguran,belum menikah,0
30,karyawan tetap,menikah,0
78,pegawai tetap,cerai,0
52,pengangguran,cerai,0
73,pekerja informal,duda,1
35,karyawan tetap,janda,0
67,pengangguran,duda,1
73,pegawai tetap,janda,0
25,buruh,menikah,0
36,pekerja informal,menikah,0
47,wirausaha,belum menikah,0
52,wirausaha,menikah,0
62,pegawai tetap,cerai,0
41,wirausaha,menikah,0
47,wirausaha,menikah,0
76,karyawan tetap,janda,0
44,pegawai tetap,janda,0
72,karyawan tetap,cerai,0
24,karyawan tetap,cerai,0
54,pengangguran,belum menikah,0
21,wirausaha,duda,0
44,karyawan tetap,menikah,0
48,pengangguran,cerai,0
49,pengangguran,belum menikah,0
18,pekerja informal,cerai,0
21,pegawai tetap,cerai,0
24,pns,cerai,0
53,pns,cerai,0
58,wirausaha,janda,1
27,pegawai tetap,duda,0
49,pengangguran,menikah,0
78,wirausaha,cerai,0
49,buruh,menikah,1
21,wirausaha,duda,0
21,pekerja informal,cerai,0
26,pengangguran,belum menikah,0
30,wirausaha,duda,0
20,pns,cerai,0
75,pegawai tetap,menikah,0
42,pengangguran,belum menikah,0
18,pegawai tetap,cerai,0
58,pegawai tetap,cerai,0
65,pns,menikah,0
67,pengangguran,janda,1
69,buruh,janda,1
40,wirausaha,cerai,0
66,pegawai tetap,janda,0
25,buruh,belum menikah,0
40,karyawan tetap,cerai,0
20,pegawai tetap,belum menikah,0
25,buruh,belum menikah,0
68,pns,menikah,0
25,buruh,cerai,0
66,pengangguran,janda,1
32,wirausaha,belum menikah,0
37,pengangguran,cerai,0
47,buruh,duda,0
62,pegawai tetap,cerai,0
26,pegawai tetap,cerai,0
73,karyawan tetap,cerai,0
61,pns,duda,0
75,buruh,cerai,1
28,pengangguran,duda,0
48,pns,menikah,0
42,buruh,menikah,1
65,wirausaha,duda,1
35,pns,belum menikah,0
20,pns,duda,0
41,pekerja informal,cerai,0
65,buruh,menikah,0
60,pns,duda,0
51,wirausaha,belum menikah,0
43,pekerja informal,duda,0
55,pns,duda,0
53,buruh,janda,0
68,buruh,menikah,0
24,pns,duda,0
62,pns,menikah,0
71,pns,menikah,0
44,pengangguran,duda,0
19,pekerja informal,janda,0
43,karyawan tetap,belum menikah,0
23,pengangguran,cerai,0
63,buruh,belum menikah,0
58,wirausaha,cerai,1
69,wirausaha,menikah,0
44,karyawan tetap,janda,0
66,karyawan tetap,janda,0
48,buruh,cerai,0
76,pns,menikah,0
47,pegawai tetap,duda,0
57,buruh,belum menikah,0
66,buruh,janda,1
53,wirausaha,janda,0
47,pns,menikah,0
66,buruh,janda,1
51,buruh,belum menikah,0
74,pekerja informal,cerai,1
44,pegawai tetap,menikah,0
32,karyawan tetap,menikah,0
40,pns,duda,0
18,pegawai tetap,cerai,0
73,karyawan tetap,cerai,0
20,pegawai tetap,duda,0
21,pekerja informal,janda,0
71,pns,janda,0
51,buruh,duda,0
35,pekerja informal,menikah,0
28,pengangguran,cerai,0
62,pekerja informal,menikah,0
69,wirausaha,duda,0
38,pegawai tetap,menikah,0
36,pengangguran,menikah,0
60,pekerja informal,duda,0
34,pegawai tetap,menikah,0
75,wirausaha,duda,0
46,pengangguran,duda,0
52,pegawai tetap,duda,0
65,buruh,duda,0
52,pekerja informal,cerai,0
78,pengangguran,cerai,1
34,buruh,janda,0
51,wirausaha,cerai,0
31,wirausaha,belum menikah,0
36,wirausaha,janda,0
35,wirausaha,belum menikah,0
58,pekerja informal,janda,0
20,pegawai tetap,cerai,0
24,buruh,janda,0
36,pegawai tetap,duda,0
51,pengangguran,duda,0
47,karyawan tetap,duda,0
31,buruh,janda,0
77,buruh,duda,1
69,buruh,cerai,1
54,wirausaha,belum menikah,0
19,buruh,menikah,0
51,wirausaha,janda,0
76,karyawan tetap,cerai,0
28,karyawan tetap,belum menikah,0
70,buruh,janda,1
42,pekerja informal,cerai,0
74,pegawai tetap,belum menikah,0
45,wirausaha,belum menikah,0
78,pengangguran,janda,1
31,pekerja informal,belum menikah,0
32,wirausaha,duda,0
78,pegawai tetap,duda,0
42,karyawan tetap,belum menikah,0
33,pekerja informal,belum menikah,0
40,pengangguran,janda,0
45,pekerja informal,janda,0
35,pekerja informal,duda,0
67,pns,cerai,0
44,wirausaha,menikah,0
69,pekerja informal,janda,1
41,wirausaha,menikah,0
31,pengangguran,janda,0
61,pns,duda,0
25,karyawan tetap,janda,0
69,wirausaha,belum menikah,0
65,pekerja informal,duda,0
44,buruh,cerai,0
40,karyawan tetap,janda,0
74,wirausaha,janda,0
70,wirausaha,janda,0
61,pegawai tetap,menikah,0
58,karyawan tetap,belum menikah,0
29,karyawan tetap,janda,0
73,buruh,cerai,1
43,pengangguran,duda,0
49,pegawai tetap,menikah,0
25,wirausaha,menikah,0
20,pegawai tetap,duda,0
46,pegawai tetap,duda,0
76,wirausaha,belum menikah,0
75,pekerja informal,cerai,1
70,karyawan tetap,belum menikah,0
76,pns,belum menikah,0
77,pns,duda,0
37,buruh,cerai,0
54,karyawan tetap,menikah,0
76,pegawai tetap,menikah,0
53,pegawai tetap,menikah,0
54,pengangguran,belum menikah,0
77,buruh,duda,1
39,pns,menikah,0
51,pns,duda,0
35,buruh,menikah,0
56,pns,cerai,0
28,pekerja informal,cerai,0
60,buruh,menikah,1
21,pengangguran,menikah,0
78,pekerja informal,cerai,1
74,pengangguran,menikah,0
51,wirausaha,menikah,0
40,karyawan tetap,janda,0
48,pegawai tetap,janda,0
60,buruh,cerai,0
47,pengangguran,belum menikah,0
65,pengangguran,belum menikah,0
52,buruh,duda,0
72,pns,janda,0
71,pns,cerai,0
63,buruh,cerai,0
43,wirausaha,menikah,0
29,pengangguran,menikah,0
68,pengangguran,cerai,1
77,pegawai tetap,cerai,0
34,karyawan tetap,duda,0
21,karyawan tetap,janda,0
20,pegawai tetap,belum menikah,0
53,buruh,belum menikah,0
72,pegawai tetap,belum menikah,0
54,pegawai tetap,duda,0
40,pekerja informal,cerai,0
26,pengangguran,duda,0
53,pekerja informal,menikah,0
41,buruh,janda,0
53,wirausaha,belum menikah,0
55,pengangguran,janda,0
60,pegawai tetap,belum menikah,0
42,pekerja informal,duda,0
57,buruh,menikah,1
27,pegawai tetap,cerai,0
37,pns,menikah,0
46,pekerja informal,belum menikah,0
42,pegawai tetap,cerai,0
33,pegawai tetap,menikah,0
63,wirausaha,janda,1
65,buruh,belum menikah,0
40,karyawan tetap,janda,0
21,buruh,menikah,0
41,buruh,duda,0
60,pns,duda,0
73,wirausaha,belum menikah,0
29,pekerja informal,janda,0
28,pekerja informal,cerai,0
32,wirausaha,menikah,0
59,karyawan tetap,cerai,0
30,wirausaha,duda,0
62,pekerja informal,belum menikah,0
67,pengangguran,janda,1
55,pegawai tetap,cerai,0
46,pengangguran,cerai,0
21,wirausaha,belum menikah,0
46,pegawai tetap,duda,0
33,buruh,belum menikah,0
66,pekerja informal,duda,1
25,pns,menikah,0
18,pegawai tetap,belum menikah,0
28,karyawan tetap,menikah,0
40,pengangguran,belum menikah,0
72,pns,belum menikah,0
53,buruh,janda,0
39,karyawan tetap,menikah,0
28,pegawai tetap,janda,0
27,wirausaha,belum menikah,0
25,pns,janda,0
37,pekerja informal,menikah,0
26,buruh,duda,0
24,wirausaha,menikah,0
23,pekerja informal,janda,0
50,pegawai tetap,belum menikah,0
45,pengangguran,menikah,0
60,pengangguran,cerai,0
78,pns,belum menikah,0
79,pekerja informal,duda,1
64,wirausaha,cerai,1
24,pekerja informal,duda,0
31,buruh,cerai,0
18,pengangguran,duda,0
37,wirausaha,duda,0
68,pengangguran,menikah,0
46,pegawai tetap,cerai,0
72,pns,cerai,0
34,karyawan tetap,menikah,0
26,wirausaha,belum menikah,0
28,wirausaha,belum menikah,0
63,karyawan tetap,janda,0
55,pengangguran,belum menikah,0
32,pekerja informal,menikah,0
38,pengangguran,menikah,0
36,wirausaha,menikah,0
56,karyawan tetap,belum menikah,0
52,karyawan tetap,menikah,0
38,pengangguran,janda,0
77,karyawan tetap,duda,0
74,pengangguran,duda,1
18,wirausaha,menikah,0
36,pns,cerai,0
57,wirausaha,menikah,0
68,karyawan tetap,belum menikah,0
32,pns,belum menikah,0
48,karyawan tetap,cerai,0
61,pekerja informal,belum menikah,0
60,pengangguran,menikah,0
40,pekerja informal,cerai,0
39,wirausaha,belum menikah,0
51,karyawan tetap,menikah,0
64,pengangguran,duda,0
25,pekerja informal,duda,0
18,wirausaha,menikah,0
52,buruh,belum menikah,0
64,wirausaha,belum menikah,1
53,karyawan tetap,menikah,0
58,pengangguran,menikah,0
25,buruh,duda,0
54,pekerja informal,cerai,0
38,karyawan tetap,duda,0
52,pns,menikah,0
55,pengangguran,duda,0
51,pns,belum menikah,0
26,pengangguran,menikah,0
47,buruh,janda,0
74,pengangguran,duda,1
37,pegawai tetap,duda,0
24,pengangguran,janda,0
36,wirausaha,menikah,0
54,wirausaha,janda,0
75,pengangguran,belum menikah,0
19,buruh,menikah,0
66,karyawan tetap,cerai,0
22,pegawai tetap,cerai,0
61,pns,janda,0
24,pns,duda,0
24,pegawai tetap,cerai,0
64,wirausaha,janda,1
53,pekerja informal,janda,0
48,wirausaha,menikah,0
70,pengangguran,cerai,1
19,pns,janda,0
50,pns,cerai,0
48,pengangguran,duda,0
22,pengangguran,janda,0
20,wirausaha,duda,0
73,pengangguran,janda,1
53,pns,cerai,0
53,wirausaha,duda,0
56,wirausaha,cerai,1
75,pegawai tetap,duda,0
70,wirausaha,duda,0
67,pengangguran,menikah,0
24,buruh,janda,0
74,pekerja informal,janda,1
76,karyawan tetap,cerai,0
76,karyawan tetap,duda,0
42,pengangguran,duda,0
34,pns,janda,0
44,pekerja informal,menikah,0
69,karyawan tetap,janda,0
31,wirausaha,belum menikah,0
76,buruh,menikah,0
53,karyawan tetap,cerai,0
47,pns,janda,0
50,pegawai tetap,belum menikah,0
63,buruh,duda,0
63,pengangguran,janda,0
64,buruh,menikah,0
21,pekerja informal,menikah,0
67,buruh,janda,1
25,pekerja informal,cerai,0
77,pns,cerai,0
64,pengangguran,menikah,0
45,wirausaha,cerai,0
53,pengangguran,belum menikah,0
43,pekerja informal,belum menikah,0
46,karyawan tetap,janda,0
79,pekerja informal,belum menikah,0
47,pegawai tetap,cerai,0
68,pegawai tetap,janda,0
61,pekerja informal,belum menikah,0
41,pengangguran,menikah,0
72,buruh,belum menikah,0
48,wirausaha,duda,0
40,pekerja informal,cerai,0
58,karyawan tetap,duda,0
42,pekerja informal,duda,0
73,pns,janda,0
63,pegawai tetap,menikah,0
45,pengangguran,belum menikah,0
51,pengangguran,janda,0
30,pns,menikah,0
59,pegawai tetap,duda,0
51,buruh,belum menikah,0
50,wirausaha,duda,0
63,pegawai tetap,duda,0
65,buruh,belum menikah,0
65,pegawai tetap,belum menikah,0
65,wirausaha,menikah,0
42,pns,menikah,0
64,pekerja informal,menikah,0
63,buruh,belum menikah,0
70,pekerja informal,duda,1
45,pegawai tetap,cerai,0
35,pengangguran,belum menikah,0
71,pns,belum menikah,0
68,pengangguran,cerai,1
44,wirausaha,janda,0
20,pekerja informal,duda,0
39,pegawai tetap,duda,0
46,pegawai tetap,menikah,0
59,buruh,janda,0
60,pengangguran,duda,0
52,pekerja informal,cerai,0
75,wirausaha,cerai,0
22,buruh,duda,0
48,pekerja informal,menikah,0
57,wirausaha,belum menikah,1
60,pengangguran,cerai,0
60,wirausaha,cerai,1
29,pegawai tetap,janda,0
78,karyawan tetap,menikah,0
42,buruh,menikah,1
51,buruh,menikah,1
76,wirausaha,menikah,0
55,pegawai tetap,janda,0
24,karyawan tetap,menikah,0
57,pekerja informal,menikah,0
65,wirausaha,menikah,0
40,pekerja informal,belum menikah,0
18,karyawan tetap,cerai,0
33,pekerja informal,cerai,0
69,pekerja informal,duda,1
75,pekerja informal,menikah,0
26,pns,duda,0
49,pengangguran,menikah,0
37,wirausaha,duda,0
28,karyawan tetap,duda,0
52,buruh,janda,0
70,pegawai tetap,menikah,0
67,pns,belum menikah,0
67,buruh,duda,1
47,wirausaha,belum menikah,0
19,karyawan tetap,janda,0
18,wirausaha,duda,0
54,karyawan tetap,duda,0
37,buruh,belum menikah,0
66,buruh,janda,1
75,pengangguran,cerai,1
54,pegawai tetap,menikah,0
62,buruh,menikah,0
35,pengangguran,menikah,0
21,pengangguran,cerai,0
68,pegawai tetap,cerai,0
45,pekerja informal,duda,0
68,wirausaha,menikah,0
29,buruh,duda,0
59,pegawai tetap,janda,0
42,buruh,belum menikah,0
67,pns,janda,0
32,pns,menikah,0
75,karyawan tetap,duda,0
47,pegawai tetap,belum menikah,0
53,pekerja informal,janda,0
45,wirausaha,duda,0
28,pekerja informal,janda,0
41,buruh,menikah,1
74,karyawan tetap,janda,0
56,buruh,duda,0
30,karyawan tetap,janda,0
66,pekerja informal,janda,1
36,karyawan tetap,cerai,0
67,wirausaha,janda,0
27,pegawai tetap,menikah,0
61,buruh,cerai,0
76,pns,belum menikah,0
34,pengangguran,menikah,0
22,wirausaha,belum menikah,0
75,wirausaha,duda,0
21,pns,duda,0
73,wirausaha,cerai,0
32,pns,menikah,0
66,pekerja informal,janda,1
24,pekerja informal,janda,0
40,pegawai tetap,belum menikah,0
44,wirausaha,duda,0
24,pegawai tetap,cerai,0
74,wirausaha,duda,0
78,pns,belum menikah,0
53,karyawan tetap,belum menikah,0
63,pekerja informal,duda,0
47,pekerja informal,janda,0
74,buruh,cerai,1
49,pekerja informal,janda,0
61,karyawan tetap,janda,0
61,karyawan tetap,janda,0
56,buruh,cerai,0
75,pegawai tetap,janda,0
47,pns,janda,0
62,wirausaha,belum menikah,1
64,buruh,cerai,0
27,pengangguran,belum menikah,0
69,pegawai tetap,janda,0
75,karyawan tetap,duda,0
69,karyawan tetap,belum menikah,0
62,wirausaha,janda,1
33,karyawan tetap,menikah,0
66,karyawan tetap,duda,0
33,wirausaha,menikah,0
37,karyawan tetap,duda,0
20,wirausaha,menikah,0
64,pekerja informal,cerai,0
78,buruh,janda,1
67,pegawai tetap,belum menikah,0
42,pekerja informal,janda,0
39,pengangguran,duda,0
58,karyawan tetap,belum menikah,0
41,pegawai tetap,belum menikah,0
29,wirausaha,menikah,0
30,pekerja informal,menikah,0
49,pekerja informal,belum menikah,0
75,wirausaha,belum menikah,0
46,pengangguran,janda,0
61,pengangguran,janda,0
31,pengangguran,menikah,0
42,karyawan tetap,janda,0
79,pegawai tetap,menikah,0
20,karyawan tetap,cerai,0
60,pengangguran,janda,0
45,pekerja informal,duda,0
24,buruh,janda,0
43,wirausaha,belum menikah,0
43,karyawan tetap,menikah,0
45,pegawai tetap,duda,0
36,pns,cerai,0
35,buruh,duda,0
25,pengangguran,menikah,0
76,karyawan tetap,janda,0
21,buruh,cerai,0
26,karyawan tetap,duda,0
35,pns,belum menikah,0
55,pengangguran,belum menikah,0
21,wirausaha,duda,0
21,karyawan tetap,menikah,0
38,pengangguran,menikah,0
44,pengangguran,cerai,0
32,pekerja informal,janda,0
30,karyawan tetap,menikah,0
23,pekerja informal,belum menikah,0
61,pns,cerai,0
62,pekerja informal,belum menikah,0
40,pns,menikah,0
56,buruh,janda,0
30,pegawai tetap,belum menikah,0
43,pekerja informal,janda,0
50,buruh,cerai,0
42,pns,belum menikah,0
22,wirausaha,janda,0
75,pns,duda,0
37,pegawai tetap,belum menikah,0
59,pengangguran,menikah,0
67,buruh,janda,1
38,pns,belum menikah,0
55,buruh,cerai,0
52,pekerja informal,belum menikah,0
65,buruh,belum menikah,0
47,pns,cerai,0
67,pegawai tetap,menikah,0
72,wirausaha,cerai,0
61,karyawan tetap,belum menikah,0
50,pns,belum menikah,0
23,wirausaha,cerai,0
35,pekerja informal,janda,0
42,wirausaha,janda,0
60,wirausaha,belum menikah,1
34,wirausaha,belum menikah,0
62,pegawai tetap,janda,0
29,pekerja informal,menikah,0
54,pegawai tetap,duda,0
22,pegawai tetap,menikah,0
69,pns,janda,0
31,karyawan tetap,belum menikah,0
66,pengangguran,janda,1
44,pekerja informal,duda,0
22,wirausaha,menikah,0
30,pegawai tetap,menikah,0
51,wirausaha,cerai,0
34,pns,duda,0
78,pekerja informal,menikah,0
70,buruh,duda,1
71,pekerja informal,belum menikah,0
55,pegawai tetap,menikah,0
56,buruh,duda,0
22,wirausaha,duda,0
35,pegawai tetap,duda,0
71,pengangguran,duda,1
62,pns,janda,0
28,pekerja informal,menikah,0
41,pekerja informal,janda,0
47,wirausaha,duda,0
40,pekerja informal,belum menikah,0
22,buruh,menikah,0
35,wirausaha,menikah,0
37,wirausaha,janda,0
75,pns,duda,0
46,pegawai tetap,janda,0
54,pekerja informal,menikah,0
69,buruh,duda,1
70,pns,cerai,0
63,buruh,duda,0
60,karyawan tetap,belum menikah,0
54,buruh,belum menikah,0
63,pekerja informal,menikah,0
18,pekerja informal,belum menikah,0
70,pekerja informal,duda,1
18,pns,belum menikah,0
50,pns,cerai,0
79,pekerja informal,janda,1
21,pengangguran,janda,0
47,pengangguran,cerai,0
60,pns,menikah,0
37,wirausaha,cerai,0
31,buruh,belum menikah,0
33,buruh,cerai,0
74,wirausaha,janda,0
31,karyawan tetap,janda,0
30,buruh,cerai,0
65,pekerja informal,belum menikah,0
29,buruh,cerai,0
23,pekerja informal,menikah,0
22,wirausaha,duda,0
49,pengangguran,menikah,0
30,buruh,menikah,0
25,buruh,belum menikah,0
70,buruh,janda,1
20,buruh,cerai,0
48,karyawan tetap,cerai,0
72,pegawai tetap,cerai,0
76,karyawan tetap,cerai,0
36,buruh,duda,0
55,pegawai tetap,duda,0
56,pengangguran,menikah,0
61,pns,belum menikah,0
78,pns,menikah,0
77,pns,cerai,0
55,pns,belum menikah,0
77,pegawai tetap,janda,0
29,wirausaha,menikah,0
56,karyawan tetap,menikah,0
20,wirausaha,cerai,0
54,wirausaha,menikah,0
21,buruh,cerai,0
51,buruh,janda,0
71,pegawai tetap,duda,0
58,buruh,belum menikah,0
18,buruh,cerai,0
32,pegawai tetap,cerai,0
71,pengangguran,belum menikah,0
65,pengangguran,janda,0
27,karyawan tetap,cerai,0
72,buruh,janda,1
53,buruh,menikah,1
47,wirausaha,belum menikah,0
78,pegawai tetap,duda,0
58,pekerja informal,cerai,0
29,pegawai tetap,menikah,0
73,pekerja informal,cerai,1
20,pekerja informal,janda,0
33,pns,belum menikah,0
58,buruh,cerai,0
46,pegawai tetap,cerai,0
18,pns,belum menikah,0
53,pns,cerai,0
70,pegawai tetap,belum menikah,0
28,pengangguran,menikah,0
52,buruh,menikah,1
27,pns,belum menikah,0
48,pengangguran,cerai,0
33,pengangguran,janda,0
19,pekerja informal,belum menikah,0
42,pekerja informal,janda,0
32,pengangguran,cerai,0
38,wirausaha,menikah,0
72,karyawan tetap,janda,0
67,wirausaha,belum menikah,0
28,buruh,janda,0
57,pns,menikah,0
27,buruh,duda,0
19,buruh,janda,0
18,pekerja informal,janda,0
21,pns,duda,0
52,karyawan tetap,janda,0
40,pns,duda,0
19,buruh,menikah,0
26,wirausaha,duda,0
77,buruh,janda,1
35,karyawan tetap,belum menikah,0
36,karyawan tetap,janda,0
25,karyawan tetap,cerai,0
55,pengangguran,belum menikah,0
36,pns,janda,0
49,karyawan tetap,menikah,0
40,pengangguran,menikah,0
44,wirausaha,duda,0
52,pegawai tetap,menikah,0
56,pns,cerai,0
67,pengangguran,menikah,0
67,wirausaha,belum menikah,0
45,pekerja informal,cerai,0
22,pengangguran,belum menikah,0
66,wirausaha,cerai,0
18,wirausaha,menikah,0
25,pns,duda,0
77,pegawai tetap,cerai,0
39,pengangguran,duda,0
40,karyawan tetap,duda,0
79,karyawan tetap,cerai,0
27,pegawai tetap,menikah,0
55,karyawan tetap,belum menikah,0
38,pekerja informal,janda,0
29,pegawai tetap,menikah,0
30,pekerja informal,menikah,0
19,pengangguran,belum menikah,0
20,pns,janda,0
73,pekerja informal,cerai,1
32,pengangguran,menikah,0
70,pns,menikah,0
24,buruh,menikah,0
19,buruh,belum menikah,0
22,karyawan tetap,janda,0
29,pekerja informal,menikah,0
59,pns,cerai,0
63,pengangguran,duda,0
78,wirausaha,menikah,0
66,pegawai tetap,menikah,0
32,wirausaha,menikah,0
36,pns,menikah,0
26,karyawan tetap,menikah,0
40,karyawan tetap,menikah,0
37,wirausaha,duda,0
36,pns,menikah,0
23,wirausaha,duda,0
22,pegawai tetap,cerai,0
58,buruh,cerai,0
44,pekerja informal,belum menikah,0
24,buruh,menikah,0
33,pengangguran,duda,0
48,pns,janda,0
37,wirausaha,belum menikah,0
79,pekerja informal,belum menikah,0
47,wirausaha,duda,0
25,pengangguran,janda,0
35,pns,menikah,0
45,wirausaha,janda,0
58,pengangguran,duda,0
36,pns,menikah,0
29,pengangguran,belum menikah,0
52,wirausaha,duda,0
27,pekerja informal,duda,0
50,karyawan tetap,janda,0
27,karyawan tetap,janda,0
78,pengangguran,menikah,0
19,wirausaha,duda,0
55,pns,janda,0
23,pengangguran,janda,0
47,pns,janda,0
72,pengangguran,menikah,0
34,wirausaha,cerai,0
71,pegawai tetap,cerai,0
25,pegawai tetap,belum menikah,0
43,karyawan tetap,duda,0
71,pns,cerai,0
49,pegawai tetap,duda,0
24,wirausaha,cerai,0
38,pengangguran,janda,0
65,pegawai tetap,janda,0
49,pegawai tetap,janda,0
61,pegawai tetap,cerai,0
72,pekerja informal,belum menikah,0
35,pekerja informal,janda,0
70,karyawan tetap,belum menikah,0
52,pegawai tetap,cerai,0
75,pns,janda,0
20,pekerja informal,belum menikah,0
41,wirausaha,menikah,0
49,buruh,cerai,0
62,buruh,duda,0
38,karyawan tetap,janda,0
51,wirausaha,belum menikah,0
36,pekerja informal,janda,0
38,pengangguran,belum menikah,0
70,karyawan tetap,janda,0
68,pegawai tetap,belum menikah,0
27,wirausaha,menikah,0
20,pns,janda,0
65,karyawan tetap,janda,0
49,pns,janda,0
56,pekerja informal,janda,0
24,wirausaha,duda,0
60,buruh,belum menikah,0
32,pekerja informal,belum menikah,0
50,pengangguran,duda,0
26,pns,janda,0
45,wirausaha,cerai,0
20,karyawan tetap,cerai,0
40,pns,cerai,0
56,pegawai tetap,menikah,0
44,wirausaha,belum menikah,0
36,wirausaha,cerai,0
64,pegawai tetap,janda,0
57,karyawan tetap,belum menikah,0
68,wirausaha,belum menikah,0
20,pekerja informal,belum menikah,0
72,pekerja informal,janda,1
47,pns,duda,0
74,pns,belum menikah,0
67,pegawai tetap,janda,0
44,karyawan tetap,menikah,0
71,buruh,janda,1
34,pns,cerai,0
75,wirausaha,janda,0
22,pegawai tetap,cerai,0
24,buruh,menikah,0
61,pns,duda,0
58,pekerja informal,belum menikah,0
31,pegawai tetap,cerai,0
56,pegawai tetap,cerai,0
29,pns,cerai,0
46,karyawan tetap,janda,0
63,wirausaha,belum menikah,1
45,pengangguran,janda,0
44,pns,cerai,0
34,buruh,belum menikah,0
34,pegawai tetap,cerai,0
22,pengangguran,duda,0
75,pekerja informal,menikah,0
79,pns,janda,0
30,pekerja informal,menikah,0
60,karyawan tetap,janda,0
49,pengangguran,duda,0
77,pns,belum menikah,0
22,buruh,duda,0
76,karyawan tetap,menikah,0
54,karyawan tetap,janda,0
62,buruh,belum menikah,0
65,wirausaha,duda,1
66,pengangguran,janda,1
79,buruh,belum menikah,0
57,pengangguran,janda,0
18,pengangguran,janda,0
39,pns,janda,0
34,pekerja informal,menikah,0
68,pns,janda,0
37,pengangguran,menikah,0
78,pegawai tetap,belum menikah,0
61,pekerja informal,janda,0
20,pekerja informal,belum menikah,0
32,pekerja informal,belum menikah,0
40,pegawai tetap,cerai,0
72,pegawai tetap,menikah,0
51,karyawan tetap,menikah,0
50,pns,duda,0
32,pengangguran,cerai,0
19,pengangguran,duda,0
32,pengangguran,janda,0
31,pegawai tetap,cerai,0
27,buruh,belum menikah,0
48,buruh,duda,0
29,pegawai tetap,janda,0
22,pegawai tetap,janda,0
39,karyawan tetap,duda,0
67,wirausaha,menikah,0
48,pengangguran,belum menikah,0
75,wirausaha,janda,0
51,pekerja informal,duda,0
45,buruh,duda,0
50,pns,cerai,0
45,buruh,duda,0
31,pns,belum menikah,0
49,wirausaha,menikah,0
75,karyawan tetap,janda,0
31,pekerja informal,cerai,0
24,pegawai tetap,belum menikah,0
41,wirausaha,cerai,0
65,pekerja informal,janda,0
60,pns,duda,0
70,pengangguran,belum menikah,0
69,buruh,duda,1
60,pns,cerai,0
73,pegawai tetap,menikah,0
77,pns,cerai,0
63,pns,belum menikah,0
44,pengangguran,menikah,0
71,buruh,duda,1
63,buruh,belum menikah,0
69,karyawan tetap,belum menikah,0
34,pekerja informal,menikah,0
