jumlah_tanggungan,penghasilan,kondisi_rumah,layak_subsidi
2,542479,layak,0
3,1715835,sangat sederhana,0
7,4658696,tidak layak,0
6,6636268,semi permanen,1
1,9327128,tidak layak,1
2,4881016,semi permanen,1
2,7389500,layak,1
5,927790,semi permanen,1
3,9762058,layak,1
7,5028786,semi permanen,0
7,7845383,sangat sederhana,1
3,6951793,sangat sederhana,1
3,8447757,semi permanen,1
2,4670398,layak,0
7,3605596,tidak layak,1
2,4477797,tidak layak,0
2,5707105,tidak layak,1
6,9112217,tidak layak,0
3,9057028,tidak layak,0
7,3036422,tidak layak,0
7,2286798,layak,1
6,4124263,layak,0
1,7085422,tidak layak,1
4,8744782,tidak layak,1
7,7122447,layak,0
5,5128534,tidak layak,0
2,9174538,semi permanen,1
5,9962117,semi permanen,1
4,5001020,layak,1
6,817438,semi permanen,0
7,972588,semi permanen,1
1,2725281,semi permanen,1
6,9376181,layak,0
6,5547427,semi permanen,0
6,1489110,tidak layak,1
1,8951574,tidak layak,0
2,8595587,tidak layak,0
3,8151198,semi permanen,1
3,833577,semi permanen,1
4,7297498,layak,1
6,2292941,sangat sederhana,0
3,6513505,semi permanen,0
2,7527107,layak,0
5,3761519,sangat sederhana,1
4,1999131,semi permanen,1
6,1003408,layak,1
2,5829749,layak,0
4,9312588,semi permanen,0
1,608368,tidak layak,0
1,9966640,semi permanen,0
5,4309349,layak,1
3,4334177,semi permanen,1
7,5109712,semi permanen,1
5,4133519,sangat sederhana,1
2,2998114,semi permanen,0
5,1206141,tidak layak,1
5,1673671,sangat sederhana,0
3,6174393,semi permanen,1
3,2335928,tidak layak,0
5,5376223,tidak layak,1
2,3647167,tidak layak,1
3,782946,layak,0
1,708770,sangat sederhana,0
4,3625653,layak,0
1,4408292,layak,1
1,6449612,layak,1
5,944259,layak,1
1,3497559,semi permanen,1
5,3376078,layak,0
4,1131042,layak,1
6,9813535,sangat sederhana,1
4,3470932,layak,0
2,7561616,sangat sederhana,1
4,842070,semi permanen,0
5,3371883,tidak layak,1
1,1781034,layak,1
5,5219983,semi permanen,1
4,8488534,tidak layak,1
5,1208777,sangat sederhana,0
6,5557805,semi permanen,0
3,565708,semi permanen,1
6,4690911,tidak layak,1
5,7709431,sangat sederhana,0
2,3166057,semi permanen,0
5,9394464,sangat sederhana,0
5,2693111,sangat sederhana,1
1,3497801,sangat sederhana,1
1,7050100,semi permanen,0
3,4744307,layak,1
5,6269640,layak,0
3,6563802,semi permanen,0
1,7181097,sangat sederhana,0
2,8390812,layak,0
6,2571836,layak,0
4,4969604,tidak layak,1
1,7921703,layak,0
5,3261458,tidak layak,1
5,7973044,sangat sederhana,1
1,5824719,layak,0
3,7130459,sangat sederhana,0
4,6170087,semi permanen,1
2,8242473,tidak layak,0
4,3983827,layak,0
4,6911740,tidak layak,1
5,2353619,sangat sederhana,0
7,4112962,layak,0
3,1142074,layak,1
7,9644673,tidak layak,0
1,1986991,tidak layak,0
1,9180707,tidak layak,0
2,7538881,tidak layak,0
7,6409042,tidak layak,0
2,5280624,tidak layak,0
6,5339351,tidak layak,0
1,2483205,tidak layak,0
3,956633,tidak layak,1
1,7108236,semi permanen,1
5,5624500,sangat sederhana,0
7,6108918,layak,1
1,7809752,sangat sederhana,1
1,9699493,sangat sederhana,0
2,4854024,sangat sederhana,0
4,8269396,layak,1
6,3284641,layak,0
7,1559849,sangat sederhana,0
6,6277603,layak,0
1,9223161,layak,0
2,9036205,layak,1
7,4377597,semi permanen,1
4,4606566,semi permanen,0
6,3595229,layak,1
4,5683855,semi permanen,0
1,8356804,sangat sederhana,0
7,7661364,tidak layak,0
3,1174725,tidak layak,1
1,3595917,sangat sederhana,0
5,9177225,tidak layak,1
4,3925098,layak,0
7,2320460,layak,1
1,7543118,layak,1
3,4101543,semi permanen,1
2,5619223,layak,0
4,5549388,layak,1
3,6544595,tidak layak,0
3,3740636,semi permanen,0
1,3678033,semi permanen,0
3,8926518,sangat sederhana,1
6,8998866,semi permanen,1
6,3139821,semi permanen,0
2,7332146,sangat sederhana,1
5,4266952,tidak layak,1
2,8295254,layak,0
3,520801,semi permanen,0
7,7762435,tidak layak,1
6,1897455,sangat sederhana,1
2,9820571,semi permanen,1
2,9784462,sangat sederhana,1
4,4094781,semi permanen,1
2,6568956,layak,0
3,834038,layak,1
4,7949985,sangat sederhana,1
3,3590361,layak,1
5,569259,tidak layak,1
3,2682311,sangat sederhana,1
4,5925121,layak,1
6,4105464,tidak layak,1
5,4087200,semi permanen,0
6,9874337,tidak layak,1
1,595137,tidak layak,0
5,3849872,tidak layak,1
5,5733806,semi permanen,1
6,4482997,sangat sederhana,0
4,8967310,semi permanen,0
2,7008071,layak,1
6,5306424,tidak layak,0
3,3221864,sangat sederhana,1
1,6436491,layak,0
1,4560416,sangat sederhana,1
2,3693387,sangat sederhana,1
6,3379459,tidak layak,0
2,7004452,semi permanen,1
4,8530997,tidak layak,1
5,5208711,semi permanen,1
6,7283991,sangat sederhana,0
1,9608822,layak,1
1,5433365,layak,0
1,7310978,layak,0
3,3210202,layak,0
4,2928616,layak,0
4,9631070,semi permanen,0
6,7104156,tidak layak,0
5,3487250,sangat sederhana,1
7,7377065,semi permanen,0
1,4294681,layak,1
3,8227022,layak,0
3,4656591,semi permanen,0
2,4152839,semi permanen,0
6,9693357,layak,0
7,1050634,layak,1
3,564680,semi permanen,0
7,8723335,tidak layak,1
7,1349127,sangat sederhana,0
2,4185074,tidak layak,1
2,4099006,sangat sederhana,0
2,1209187,sangat sederhana,1
3,7487711,sangat sederhana,0
7,6218084,semi permanen,0
6,1024885,sangat sederhana,1
5,7500900,sangat sederhana,0
1,7602804,tidak layak,1
4,7657480,sangat sederhana,0
3,5482863,semi permanen,0
4,1972829,sangat sederhana,0
4,2012470,sangat sederhana,0
6,9141831,layak,0
5,3791164,layak,1
3,2024701,sangat sederhana,1
2,6748615,tidak layak,0
7,3510578,tidak layak,1
2,2684611,tidak layak,0
5,6257309,tidak layak,1
2,9804932,semi permanen,0
6,3536844,semi permanen,1
4,2377440,layak,0
5,708034,sangat sederhana,1
5,9003421,semi permanen,1
1,7496370,tidak layak,0
3,2528640,layak,1
7,9414015,tidak layak,0
1,3542097,tidak layak,1
3,3679029,semi permanen,0
6,8546810,layak,0
2,7296508,semi permanen,1
2,3888542,semi permanen,1
1,6109035,layak,0
2,8863442,layak,0
6,6080279,semi permanen,0
5,2688021,sangat sederhana,1
1,2813871,semi permanen,0
5,2146989,layak,0
4,9553983,semi permanen,1
4,5877373,layak,0
1,4756085,semi permanen,0
4,6887191,tidak layak,0
3,1017418,layak,1
2,1817804,layak,1
6,1875877,semi permanen,0
3,8544764,semi permanen,1
1,1890403,sangat sederhana,1
1,4364777,semi permanen,1
3,3298162,sangat sederhana,0
1,9935324,semi permanen,1
4,7623534,layak,0
6,6033028,sangat sederhana,1
3,9698436,sangat sederhana,0
6,2794248,layak,0
6,3703302,layak,0
1,9555745,tidak layak,0
6,8925481,sangat sederhana,1
1,2104079,layak,1
6,5581593,layak,1
5,1340318,semi permanen,1
3,3037768,sangat sederhana,1
3,4206486,layak,1
5,4817175,layak,1
7,6449992,tidak layak,1
5,5704514,layak,0
2,4599257,layak,0
2,3926012,layak,0
4,6890478,sangat sederhana,1
2,4125299,sangat sederhana,0
2,9959776,sangat sederhana,0
4,3472347,layak,0
3,9430892,layak,1
4,1966075,semi permanen,0
5,1111337,layak,0
7,2984555,semi permanen,1
3,2076066,layak,0
4,5991540,layak,0
3,7228907,tidak layak,0
6,5638981,sangat sederhana,0
2,6207780,semi permanen,0
1,9548468,semi permanen,1
6,7098029,semi permanen,1
2,7396026,semi permanen,0
6,5386088,tidak layak,1
7,5278818,tidak layak,0
3,1106962,sangat sederhana,1
7,9385919,layak,1
7,6068839,semi permanen,1
4,8748748,layak,1
3,5452805,sangat sederhana,0
6,4813757,tidak layak,1
2,4158888,layak,0
5,7994385,tidak layak,0
4,9563446,sangat sederhana,1
1,8575679,tidak layak,0
3,6244682,tidak layak,0
3,1228154,layak,1
6,2084352,semi permanen,1
6,1011415,sangat sederhana,1
3,6894587,semi permanen,1
7,4748236,layak,1
2,6508539,layak,0
4,2088813,layak,1
1,4578903,tidak layak,1
6,8374614,layak,1
5,9521565,sangat sederhana,0
1,8863330,semi permanen,0
3,5433964,layak,0
1,5483186,tidak layak,1
6,8697203,sangat sederhana,0
7,8312656,tidak layak,0
1,5927235,layak,1
7,9644981,layak,0
6,1850123,sangat sederhana,1
3,6707825,tidak layak,1
7,1157121,tidak layak,0
6,1938814,sangat sederhana,0
6,1765800,tidak layak,1
3,6607087,sangat sederhana,0
5,5267167,layak,0
4,9357272,semi permanen,0
5,6652190,sangat sederhana,1
4,2380941,sangat sederhana,0
4,3962518,semi permanen,0
1,1737965,sangat sederhana,0
7,1894786,tidak layak,1
3,1229765,sangat sederhana,1
4,2398793,semi permanen,0
6,9992992,layak,0
5,5248703,layak,1
4,9211938,tidak layak,1
4,1402379,semi permanen,0
5,2674338,sangat sederhana,1
6,525839,semi permanen,0
2,1319432,sangat sederhana,1
2,698669,sangat sederhana,0
7,9064963,tidak layak,0
6,8753932,tidak layak,1
5,9927511,layak,0
1,4468894,tidak layak,0
7,1631262,semi permanen,1
2,566960,tidak layak,0
7,9131422,layak,0
2,4261960,layak,0
3,4093208,semi permanen,0
4,8708053,layak,0
1,8550304,sangat sederhana,1
3,4730315,semi permanen,1
6,8683054,tidak layak,1
5,2496242,semi permanen,0
5,4434068,tidak layak,1
1,2197326,layak,0
6,7882457,layak,1
2,6765481,layak,1
5,8954912,sangat sederhana,0
2,4226887,tidak layak,1
3,6632926,layak,1
3,6540742,layak,0
2,1918165,tidak layak,1
4,9139943,tidak layak,0
5,4778577,tidak layak,1
5,6178742,layak,0
2,9904926,layak,1
2,8431025,semi permanen,1
2,5169498,layak,0
5,6585695,sangat sederhana,1
2,4885325,semi permanen,0
7,5699751,layak,0
1,4064107,sangat sederhana,0
5,1829103,layak,1
1,9649160,layak,1
3,3785621,sangat sederhana,0
6,4481577,layak,1
5,7862608,tidak layak,1
2,9306302,semi permanen,0
6,9730451,layak,1
7,9677146,tidak layak,0
5,6675847,layak,1
1,9204917,layak,1
1,9516479,layak,1
6,5291997,tidak layak,0
5,1242903,semi permanen,0
7,2965850,layak,1
7,4734939,sangat sederhana,0
7,8457784,layak,1
7,6864195,layak,0
3,7275016,semi permanen,1
4,1415202,semi permanen,0
7,9175635,semi permanen,0
3,4473402,tidak layak,0
7,4379219,semi permanen,1
7,596176,semi permanen,0
5,7535304,layak,1
3,4457046,layak,0
5,5140560,tidak layak,1
1,6630598,tidak layak,1
6,5808116,tidak layak,0
6,2993269,sangat sederhana,0
5,4844264,semi permanen,1
7,7169922,layak,1
2,2801231,sangat sederhana,1
2,7588570,sangat sederhana,1
7,3909364,sangat sederhana,0
3,3443206,tidak layak,0
1,5117253,layak,0
3,8481117,sangat sederhana,0
3,1108279,semi permanen,0
7,8370244,sangat sederhana,0
6,2282058,tidak layak,1
3,8930005,sangat sederhana,0
2,4865597,layak,0
1,7297354,semi permanen,1
6,2577544,tidak layak,1
2,766501,semi permanen,1
5,1512042,tidak layak,0
2,6358438,semi permanen,0
5,2771255,layak,1
4,6387479,sangat sederhana,0
5,8159046,layak,0
3,1477547,tidak layak,1
1,9732719,tidak layak,0
7,1811766,layak,0
5,4284792,tidak layak,0
5,1429444,tidak layak,0
6,590530,tidak layak,0
2,8383358,tidak layak,1
6,2283510,layak,1
4,7377780,layak,1
5,4203082,tidak layak,0
4,6618803,layak,1
1,7586450,semi permanen,0
6,4817371,semi permanen,0
7,5751826,tidak layak,1
3,8782643,layak,1
2,5392286,tidak layak,0
1,9345077,tidak layak,0
7,3452334,semi permanen,1
1,9477357,layak,0
2,7792897,semi permanen,1
2,4849585,semi permanen,0
5,4722784,tidak layak,0
5,5950017,semi permanen,1
6,1163354,semi permanen,0
2,4567606,layak,1
1,7814861,tidak layak,1
6,2187255,layak,0
3,1971085,sangat sederhana,0
5,8433851,semi permanen,0
3,4367412,layak,1
2,8371068,layak,1
5,717065,semi permanen,1
7,4650291,layak,1
1,2161758,tidak layak,1
1,2911854,sangat sederhana,0
1,733900,layak,1
2,2424194,layak,0
3,1765264,tidak layak,1
1,1637312,tidak layak,0
6,9955282,semi permanen,0
5,1430319,layak,1
7,1800239,semi permanen,1
3,7880854,tidak layak,1
5,1851462,tidak layak,1
1,7419209,sangat sederhana,1
1,2432203,semi permanen,0
5,3128567,semi permanen,1
1,5079339,layak,0
2,9605666,tidak layak,0
7,3945175,sangat sederhana,1
5,2398476,tidak layak,0
2,2353898,layak,1
7,9587845,tidak layak,1
7,9909486,sangat sederhana,1
3,4408666,sangat sederhana,0
5,2847321,layak,1
1,8105543,sangat sederhana,1
6,1463870,tidak layak,0
6,2468612,semi permanen,0
1,5124785,semi permanen,0
2,8757272,tidak layak,1
5,3098753,tidak layak,1
3,7061383,tidak layak,0
4,6031461,semi permanen,0
4,2863978,layak,1
3,3000733,sangat sederhana,0
1,9005385,layak,1
2,7738884,semi permanen,1
2,2449068,sangat sederhana,0
3,7832256,semi permanen,1
3,8073836,semi permanen,0
6,8170987,layak,1
7,7282007,tidak layak,0
2,4845810,semi permanen,1
2,2482915,semi permanen,0
3,2642783,sangat sederhana,1
2,4681649,semi permanen,1
5,2444827,sangat sederhana,1
4,9158579,tidak layak,0
6,5108721,semi permanen,1
7,5519156,tidak layak,0
1,9193059,tidak layak,1
5,883562,semi permanen,0
3,4110437,layak,0
6,9170939,layak,0
6,7305629,layak,0
7,9753552,layak,1
1,7678430,semi permanen,1
2,2713297,sangat sederhana,1
1,6212868,semi permanen,1
1,9965914,semi permanen,0
2,6262215,semi permanen,0
7,816652,semi permanen,1
6,5652352,sangat sederhana,1
7,7878455,semi permanen,1
6,6832221,tidak layak,1
6,9308331,layak,0
7,8337632,layak,1
7,7088159,layak,1
1,4120706,semi permanen,0
7,1249762,layak,1
2,5493962,layak,1
6,6953018,tidak layak,0
1,8120238,tidak layak,1
4,6785362,semi permanen,1
1,682735,layak,0
5,1397908,semi permanen,0
2,2668926,layak,1
6,585988,layak,0
7,9713634,tidak layak,0
5,1364570,tidak layak,1
6,5650679,layak,1
2,6430919,tidak layak,0
1,6356980,layak,1
5,604144,tidak layak,0
5,4953421,tidak layak,0
6,5585544,semi permanen,1
7,2939057,tidak layak,1
3,5499615,tidak layak,1
3,840717,tidak layak,0
7,573320,tidak layak,1
5,7112377,layak,0
6,5577154,layak,0
6,7405367,sangat sederhana,0
7,6433414,layak,0
6,9068280,layak,0
4,4123602,sangat sederhana,1
3,8101596,tidak layak,1
7,6571684,layak,0
1,6192013,semi permanen,1
4,8193279,sangat sederhana,1
2,8288493,semi permanen,1
6,2224108,semi permanen,1
5,8635044,layak,0
5,7186943,layak,0
7,3969794,layak,1
1,6077267,tidak layak,0
3,4794764,sangat sederhana,1
1,590639,tidak layak,1
1,4651526,layak,1
4,2057186,layak,1
5,7023182,sangat sederhana,0
2,6619477,sangat sederhana,1
6,7130409,sangat sederhana,0
1,4998308,sangat sederhana,0
1,4263179,sangat sederhana,1
7,4308745,layak,0
3,8506984,tidak layak,0
2,4607241,tidak layak,0
7,4881157,tidak layak,0
5,5730204,layak,1
7,5802740,semi permanen,1
3,9774457,tidak layak,1
7,2175236,layak,1
4,8192182,layak,0
1,6524098,layak,0
6,3801777,semi permanen,1
6,9371191,layak,0
4,529604,sangat sederhana,0
4,6260745,tidak layak,1
5,1725962,tidak layak,0
1,1322308,semi permanen,1
6,8317659,sangat sederhana,1
5,5941656,sangat sederhana,0
7,6889399,sangat sederhana,1
7,1476898,sangat sederhana,0
1,9287480,sangat sederhana,0
5,5134679,semi permanen,1
6,7275837,layak,0
4,3141519,tidak layak,0
7,3226912,semi permanen,1
5,5098938,semi permanen,0
3,9091273,sangat sederhana,0
2,1652024,layak,0
1,5825948,tidak layak,1
1,2779438,layak,1
2,2493967,tidak layak,0
4,918860,sangat sederhana,1
4,6901459,layak,0
3,8150872,tidak layak,1
2,4793603,semi permanen,1
3,5845709,tidak layak,1
1,1049395,layak,0
5,8629918,sangat sederhana,0
3,1404933,sangat sederhana,0
1,6707032,layak,0
3,7862970,sangat sederhana,0
5,625131,tidak layak,0
6,6823091,sangat sederhana,1
1,1996477,tidak layak,1
7,617890,layak,1
5,5095447,sangat sederhana,1
6,8595441,tidak layak,0
5,6816820,layak,1
2,8415685,sangat sederhana,0
3,2480639,sangat sederhana,1
1,8174520,tidak layak,0
7,4492464,tidak layak,0
1,8002735,layak,0
4,1781553,tidak layak,0
3,9845616,semi permanen,1
7,8061181,tidak layak,0
4,4916003,layak,1
1,3759910,tidak layak,1
6,5177915,sangat sederhana,0
7,5685100,semi permanen,0
5,4235995,layak,1
2,8888957,layak,1
5,5554684,semi permanen,0
1,9309598,tidak layak,0
3,9957982,semi permanen,0
1,9606047,layak,1
1,3710464,tidak layak,1
7,4644365,layak,1
5,2485302,tidak layak,1
7,7133939,sangat sederhana,1
1,9425359,tidak layak,0
6,3204950,semi permanen,1
4,1130777,sangat sederhana,1
3,4854892,sangat sederhana,1
4,5641069,layak,1
5,793176,tidak layak,1
7,6135824,semi permanen,0
4,5573424,layak,0
3,8518265,layak,0
3,5667900,tidak layak,1
7,5575551,semi permanen,1
5,598140,layak,0
2,7831158,layak,0
6,1396827,tidak layak,0
1,5738531,layak,1
4,5172964,layak,1
4,1105053,semi permanen,1
3,9202455,layak,1
6,8392332,layak,1
1,9762222,layak,0
3,2696172,tidak layak,0
1,4510071,layak,0
2,7373708,semi permanen,0
4,7489152,sangat sederhana,0
5,2922800,semi permanen,1
5,5103929,sangat sederhana,1
5,7744843,sangat sederhana,1
4,4600268,layak,0
5,9502734,layak,0
2,7332657,sangat sederhana,0
7,7405851,layak,0
7,6661708,tidak layak,1
2,2501953,tidak layak,1
7,9378163,tidak layak,1
5,2395423,layak,0
3,5572314,tidak layak,0
2,8154936,sangat sederhana,1
4,5133809,sangat sederhana,0
3,838195,tidak layak,1
3,7643844,semi permanen,1
4,2367926,semi permanen,0
6,6035250,tidak layak,1
3,7979638,tidak layak,0
3,7231251,sangat sederhana,0
5,2725090,sangat sederhana,0
6,4025295,sangat sederhana,1
1,2409096,semi permanen,0
7,2048746,tidak layak,1
3,4309770,tidak layak,1
2,5100709,layak,1
3,6901923,tidak layak,1
2,2037862,layak,1
1,8688208,sangat sederhana,0
5,1991122,tidak layak,0
5,2545739,tidak layak,0
6,7115864,tidak layak,0
1,4546209,sangat sederhana,1
5,9887592,sangat sederhana,0
5,3370047,tidak layak,1
2,8677074,tidak layak,0
5,6886800,layak,1
3,2717932,semi permanen,0
3,7994433,tidak layak,0
2,7837140,tidak layak,0
1,9930582,tidak layak,1
4,4627929,layak,0
1,2887439,tidak layak,0
2,2868851,tidak layak,0
4,8818190,tidak layak,1
6,5222030,semi permanen,1
1,6798565,layak,1
1,3783726,layak,0
6,9288560,sangat sederhana,0
2,3899039,tidak layak,1
3,7168106,semi permanen,0
1,7978674,layak,1
2,4041344,sangat sederhana,1
4,6762251,layak,1
6,8077895,layak,0
6,3504333,semi permanen,1
2,4149702,sangat sederhana,0
1,7483674,layak,1
2,7568331,tidak layak,0
6,2917036,sangat sederhana,1
2,2913762,tidak layak,1
5,5002137,layak,0
4,4625417,sangat sederhana,1
3,1430576,layak,0
3,1754295,layak,0
2,7036508,tidak layak,0
1,6728598,semi permanen,1
1,8427821,tidak layak,0
2,5880708,layak,1
6,4363371,semi permanen,1
5,7279296,sangat sederhana,1
4,1614248,sangat sederhana,1
3,7862960,sangat sederhana,1
7,3078064,sangat sederhana,0
7,4410808,semi permanen,0
2,3829236,layak,1
3,1516560,sangat sederhana,1
6,4293651,tidak layak,0
5,2253538,tidak layak,1
7,9079451,tidak layak,0
5,8974352,semi permanen,1
1,8706780,sangat sederhana,1
2,8784634,sangat sederhana,1
1,9840368,layak,1
4,5434211,sangat sederhana,1
1,3385739,sangat sederhana,1
3,4007550,tidak layak,0
3,9393999,sangat sederhana,0
4,1754878,semi permanen,1
5,2828546,sangat sederhana,1
1,2494663,sangat sederhana,0
7,9034690,tidak layak,0
7,4888761,sangat sederhana,1
7,9984377,layak,1
7,8950997,tidak layak,1
2,5975618,layak,0
7,4771465,layak,0
6,5949486,tidak layak,0
7,2828854,tidak layak,1
1,1712724,layak,0
6,3466414,sangat sederhana,1
3,6839929,tidak layak,1
1,9664075,layak,0
6,3932916,layak,1
5,4577174,sangat sederhana,1
5,1684900,sangat sederhana,1
7,3060155,sangat sederhana,0
1,5212197,layak,1
2,3041771,sangat sederhana,1
4,1393716,semi permanen,1
6,8074897,sangat sederhana,1
4,2389309,tidak layak,0
2,2110846,layak,0
1,8257802,tidak layak,0
2,7047029,tidak layak,0
3,7289951,layak,1
5,8378142,sangat sederhana,1
5,520466,semi permanen,0
5,9137770,sangat sederhana,1
7,5715579,tidak layak,1
6,2603761,sangat sederhana,1
6,9122442,layak,1
6,2858542,layak,0
2,4076908,layak,0
5,9949384,semi permanen,0
5,3539982,semi permanen,0
4,2114153,sangat sederhana,0
1,6583400,layak,1
2,1118990,semi permanen,0
3,7349379,sangat sederhana,1
7,8769157,sangat sederhana,1
7,861647,semi permanen,1
2,7875265,layak,0
7,9304114,layak,0
3,7801117,sangat sederhana,0
5,9027274,layak,0
7,5438371,layak,0
4,2110448,tidak layak,1
3,5418577,sangat sederhana,0
4,6693540,tidak layak,0
3,8057932,tidak layak,1
3,4247031,tidak layak,1
1,2126006,tidak layak,1
5,6324170,semi permanen,0
3,9822086,sangat sederhana,0
2,7727256,semi permanen,0
1,1224636,semi permanen,1
1,5274131,sangat sederhana,1
1,8346358,tidak layak,1
4,5895019,tidak layak,0
6,4452454,semi permanen,0
6,3469090,semi permanen,1
3,9902771,tidak layak,1
5,1961685,sangat sederhana,0
3,4311050,sangat sederhana,0
7,6651053,semi permanen,1
1,7442617,tidak layak,0
1,7340395,layak,1
3,2187850,sangat sederhana,0
3,4859615,tidak layak,1
4,5788289,tidak layak,1
4,2645888,tidak layak,0
3,1090118,semi permanen,1
5,5255472,sangat sederhana,1
3,3738212,tidak layak,1
1,8263658,layak,0
2,1600310,sangat sederhana,1
2,9706624,sangat sederhana,0
2,9558341,tidak layak,0
6,8752228,semi permanen,0
1,7595324,sangat sederhana,1
6,3955597,sangat sederhana,1
5,1319821,tidak layak,0
2,5449840,tidak layak,0
6,2570454,sangat sederhana,1
1,3038842,sangat sederhana,1
4,2639941,tidak layak,1
5,1411097,layak,1
3,1589822,layak,0
7,8491273,layak,0
6,1096462,layak,0
1,3266674,semi permanen,1
1,7371027,tidak layak,1
7,3794674,tidak layak,0
1,930203,layak,1
3,3964639,layak,0
3,1622005,sangat sederhana,0
7,3736774,layak,1
5,3810530,layak,0
6,2113984,layak,0
7,962963,semi permanen,0
4,3418993,semi permanen,1
2,8453461,tidak layak,1
2,8785274,semi permanen,1
2,5037227,layak,1
6,9211834,sangat sederhana,0
2,653801,semi permanen,1
7,835266,semi permanen,1
6,7331932,tidak layak,1
7,6127571,sangat sederhana,0
5,5964016,layak,1
5,7414938,semi permanen,0
4,6440106,tidak layak,1
2,8247417,layak,0
3,6057783,sangat sederhana,0
3,3802131,tidak layak,0
7,5115158,semi permanen,1
7,3470314,layak,0
3,9833767,tidak layak,0
3,6527712,tidak layak,1
4,3487450,layak,0
3,8307284,sangat sederhana,0
7,4851373,layak,0
6,9776763,layak,1
6,9369623,sangat sederhana,1
1,8626757,layak,0
2,6378898,tidak layak,1
1,2935084,tidak layak,1
3,3336636,sangat sederhana,0
1,1401100,sangat sederhana,0
3,5400643,tidak layak,0
5,821380,layak,1
4,4275665,layak,0
4,3003171,sangat sederhana,1
4,9529895,tidak layak,1
4,8297591,layak,1
6,7678591,semi permanen,0
3,2509487,semi permanen,0
5,6850028,semi permanen,0
4,7518401,semi permanen,1
5,6810359,semi permanen,1
5,3788820,tidak layak,1
1,2393607,sangat sederhana,0
5,4170275,tidak layak,1
4,5723329,sangat sederhana,0
7,1538304,layak,1
7,8314173,layak,0
5,4383201,semi permanen,0
4,1278337,tidak layak,0
3,6446407,semi permanen,0
7,2474359,tidak layak,0
5,5481609,semi permanen,0
4,7230096,semi permanen,0
7,1366128,tidak layak,0
7,7103186,tidak layak,1
6,1799225,tidak layak,0
6,6668794,semi permanen,0
4,1601530,tidak layak,1
4,8482106,layak,0
5,5047502,semi permanen,1
5,7376238,layak,0
2,685453,layak,0
5,5628382,semi permanen,1
3,3499621,semi permanen,1
6,4590194,layak,0
5,5853791,semi permanen,0
4,7850588,sangat sederhana,1
2,1215417,layak,1
5,5136569,tidak layak,1
1,6699649,sangat sederhana,0
2,3613689,layak,0
5,3201037,tidak layak,0
